index,name,n_atoms,DFT_energy_pa,M3G_energy_pa,energy_residual,energy_MAE,force_MAE,force_RMSE,force_max_err,stress_MAE,stress_RMSE,stress_normal_MAE,stress_normal_RMSE,stress_res_xx,stress_res_yy,stress_res_zz,stress_res_yz,stress_res_xz,stress_res_xy
0,structure_1.xyz,70,-8.591251548857143,-8.60234636579241,-0.011094816935267815,0.011094816935267815,0.11230052723858967,0.13993310482202825,0.40608023293316364,0.009008894833755221,0.012780522042055554,0.017454887619048048,0.018048347038638276,0.015028122696094215,0.023882452907855622,0.013454087253194302,2.3446432351192925e-07,-0.001679849734500749,8.621946562925586e-06
1,structure_10.xyz,70,-8.591283295857142,-8.602421351841517,-0.011138055984375228,0.011138055984375228,0.11311850440236282,0.14090626479128288,0.41151189617812634,0.009088842699592684,0.012934868331456793,0.017642002407228574,0.018270353591963225,0.01498953792906832,0.024313483125297353,0.01362298616732005,2.0200432686579006e-06,-0.0015638909726476413,4.113795995408509e-05
2,structure_100.xyz,70,-8.57245101357143,-8.589226422991072,-0.016775409419642173,0.016775409419642173,0.12635866635661971,0.16330734981093692,0.43210792541503906,0.010751489303977735,0.015029073558437543,0.020332999837895233,0.021204221432264216,0.016138014383614063,0.028840153943747282,0.016020831186324358,-3.4766488141713126e-06,-0.0020950270941284543,0.00141143256723808
3,structure_1000.xyz,71,-8.584986197323943,-8.599383287026848,-0.014397089702905319,0.014397089702905319,0.12974514823729127,0.1748740918475806,0.7862696121446788,0.009420750414392387,0.012876658808689509,0.01744682336235807,0.018124873054548532,0.0128169622621499,0.024245319051260594,0.015278188773663715,0.0013919524408265715,-0.0027154329982295167,7.664696022402495e-05
4,structure_1001.xyz,71,-8.538055872535212,-8.564349966989436,-0.026294094454224037,0.026294094454224037,0.16054388570214254,0.21497097081333924,0.6983187347650528,0.013386375440556245,0.016904269958323444,0.022765008732676506,0.023485265074483223,0.015051454305648804,0.02893347106873989,0.024310100823640823,0.006164204562082887,-0.004461102187633514,0.001397919695591554
5,structure_1002.xyz,71,-8.538140053098592,-8.565239704830546,-0.0270996517319535,0.0270996517319535,0.16319759444920404,0.21823945472562095,0.6977559700608253,0.013576515125654018,0.01710272094971074,0.023032356053590775,0.023752191039280494,0.015186559408903122,0.029040521010756493,0.02486998774111271,0.006219219183549285,-0.004648256435757503,0.0014945469738449901
6,structure_1003.xyz,71,-8.554646485070423,-8.581627214458626,-0.026980729388203173,0.026980729388203173,0.13930854267896756,0.19669608608857791,0.7700203582644463,0.01240954260477641,0.017022421067445625,0.02281227024892966,0.023948165256655052,0.014121400192379951,0.03195603843778372,0.02235937211662531,0.003338954644277692,-0.002623173175379634,-5.831706221215427e-05
7,structure_1004.xyz,71,-8.55797883802817,-8.585419990647008,-0.02744115261883806,0.02744115261883806,0.12836535445941838,0.18740372987429277,0.76938796043396,0.01208795492129866,0.017094512094000765,0.02312170108780265,0.02415200182489982,0.015783362090587616,0.03250670665875077,0.021075034514069557,0.0008862867543939501,-0.0011303932406008244,-0.001145946269389242
8,structure_1005.xyz,68,-8.601939617058823,-8.598361744600183,0.0035778724586403854,0.0035778724586403854,0.07144505337122181,0.09161220540419615,0.2272181222360814,0.005573844793614076,0.008318018804489053,0.010481215683815511,0.011706892791885238,0.009435934915018152,0.017326333907703884,0.004681378228724498,-2.0686974266936886e-07,0.0019956431718384238,-3.5716686568321165e-06
9,structure_1006.xyz,69,-8.583056207971016,-8.591075067934783,-0.00801885996376761,0.00801885996376761,0.11159526888752955,0.14582648537379933,0.544373547192663,0.009275713848182932,0.013483335788990386,0.01796174852643162,0.01905464310257753,0.012458232580684125,0.02687516249716282,0.014551850501447916,-0.0011529490438988432,0.00045757465704809874,-0.00015851380885578692
