index,energy_MAE,force_MAE,stress_MAE,,,,,,,,
1,0.170945868,0.092336863,0.015259692,,,,,,,,
2,0.16792364,0.079768843,0.035861715,,,,,,,,
3,0.168184758,0.097230792,0.01845719,,,,,,,,
4,0.17038208,0.079158306,0.016572968,,,,,,,,
5,0.170005333,0.101147432,0.014741172,,,,,,,,
6,0.17084138,0.088745858,0.02094205,,,,,,,,
7,0.168557074,0.086844998,0.009796045,,,,,,,,
8,0.170061743,0.090770297,0.007523997,,,,,,,,
9,0.170392778,0.068095347,0.006122649,,,,,,,,
10,0.171657053,0.06103458,0.014171063,,,,,,,,
11,0.16676231,0.083729374,0.009843683,,,,,,,,
12,0.168130602,0.089609294,0.00984209,,,,,,,,
13,0.168603435,0.074129174,0.026058742,,,,,,,,
14,0.171837515,0.065201758,0.00909507,,,,,,,,
15,0.172842265,0.06006264,0.011000368,,,,,,,,
16,0.170600097,0.061398329,0.007784146,,,,,,,,
17,0.163783193,0.076125484,0.018813231,,,,,,,,
18,0.163940153,0.073247371,0.006992203,,,,,,,,
19,0.165233933,0.074746799,0.010507088,,,,,,,,
20,0.164500975,0.079165852,0.013468707,,,,,,,,
21,0.16519207,0.069064471,0.012217056,,,,,,,,
22,0.167020965,0.06907941,0.014803494,,,,,,,,
23,0.17129304,0.072400929,0.0255965,,,,,,,,
24,0.169723795,0.083144268,0.009873754,,,,,,,,
25,0.168633942,0.126195466,0.010349286,,,,,,,,
26,0.17048492,0.105419515,0.018968214,,,,,,,,
27,0.16678731,0.089395936,0.006047316,,,,,,,,
28,0.165496398,0.10294473,0.01480504,,,,,,,,
29,0.171641545,0.072425321,0.010633091,,,,,,,,
30,0.16739277,0.087016867,0.009347191,,,,,,,,
31,0.169081268,0.096973413,0.009200688,,,,,,,,
32,0.167424038,0.103935621,0.014198034,,,,,,,,
33,0.16443079,0.10902539,0.007912531,,,,,,,,
34,0.170276622,0.104515992,0.004083431,,,,,,,,
35,0.169634137,0.131699991,0.016521207,,,,,,,,
36,0.16991708,0.143297684,0.005403732,,,,,,,,
37,0.16713945,0.147127016,0.022010018,,,,,,,,
38,0.165054795,0.120882907,0.012495678,,,,,,,,
39,0.162305505,0.127297044,0.011496781,,,,,,,,
40,0.166281115,0.118234528,0.006840304,,,,,,,,
41,0.166837505,0.143938974,0.011888809,,,,,,,,
42,0.168652912,0.195253008,0.013856577,,,,,,,,
43,0.167146155,0.163493469,0.010395813,,,,,,,,
44,0.166250915,0.148113646,0.010054929,,,,,,,,
45,0.170521282,0.148877446,0.012660209,,,,,,,,
46,0.165383057,0.158188268,0.012557543,,,,,,,,
47,0.168079947,0.137706685,0.008263835,,,,,,,,
48,0.162958965,0.204466934,0.014664038,,,,,,,,
49,0.168147577,0.16915897,0.009147272,,,,,,,,
50,0.161790745,0.209790466,0.00965056,,,,,,,,
