index,energy_MAE,force_MAE,stress_MAE,,,,,,,,
1,0.016870752,0.195017795,0.004393316,,,,,,,,
2,0.022157034,0.190716978,0.00377482,,,,,,,,
3,0.029826589,0.191304859,0.005300393,,,,,,,,
4,0.019412123,0.178479995,0.006776266,,,,,,,,
5,0.019990621,0.192432535,0.004765536,,,,,,,,
6,0.012241464,0.180742265,0.003641314,,,,,,,,
7,0.01757903,0.197462906,0.002387468,,,,,,,,
8,0.033052857,0.156011637,0.005187157,,,,,,,,
9,0.040684581,0.146428342,0.004871713,,,,,,,,
10,0.043581667,0.191768667,0.003643716,,,,,,,,
11,0.049676957,0.18975709,0.004885734,,,,,,,,
12,0.029110814,0.203615248,0.005495406,,,,,,,,
13,0.03979361,0.182210367,0.007106888,,,,,,,,
14,0.030295144,0.174203293,0.004496269,,,,,,,,
15,0.028396822,0.162164551,0.007575296,,,,,,,,
16,0.015538626,0.174922467,0.007843087,,,,,,,,
17,0.023935415,0.155025193,0.006259504,,,,,,,,
18,0.034776398,0.169324295,0.004979912,,,,,,,,
19,0.033014684,0.17478504,0.008798602,,,,,,,,
20,0.03077052,0.167674381,0.006421747,,,,,,,,
21,0.02639737,0.163363843,0.001534128,,,,,,,,
22,0.018089289,0.157780978,0.00462211,,,,,,,,
23,0.022716426,0.207192286,0.005008053,,,,,,,,
24,0.027100333,0.156784173,0.004403446,,,,,,,,
25,0.029404297,0.151602977,0.006943796,,,,,,,,
26,0.033594487,0.177872471,0.006422373,,,,,,,,
27,0.031594297,0.164887491,0.006995029,,,,,,,,
28,0.033291645,0.16478856,0.007498391,,,,,,,,
29,0.032507434,0.161410574,0.004489221,,,,,,,,
30,0.034951999,0.162805306,0.005153975,,,,,,,,
31,0.036190781,0.186957471,0.005538938,,,,,,,,
32,0.035122971,0.137005206,0.006481009,,,,,,,,
33,0.041651099,0.177790752,0.008793389,,,,,,,,
34,0.01731247,0.202678222,0.005563355,,,,,,,,
35,0.03631288,0.161247614,0.006053798,,,,,,,,
36,0.040868182,0.165082464,0.005784786,,,,,,,,
37,0.040551953,0.180282048,0.007598722,,,,,,,,
38,0.031177666,0.1672011,0.007789443,,,,,,,,
39,0.035101776,0.155254118,0.007167732,,,,,,,,
40,0.029489399,0.172551147,0.0050946,,,,,,,,
41,0.029857726,0.183385691,0.00385409,,,,,,,,
42,0.023091317,0.163938891,0.004533568,,,,,,,,
43,0.029286519,0.19247346,0.005305061,,,,,,,,
44,0.019528663,0.195345643,0.004866186,,,,,,,,
45,0.019845283,0.167921432,0.00543735,,,,,,,,
46,0.021593196,0.183758494,0.006845397,,,,,,,,
47,0.025859669,0.172071989,0.007662335,,,,,,,,
48,0.01733694,0.19558391,0.006341368,,,,,,,,
49,0.023314417,0.196223302,0.005273048,,,,,,,,
50,0.017444442,0.187794255,0.005237137,,,,,,,,
