effective_type,x,y,covered_before,covered_by_selected,covered_after
r2.7:C:cn7:CFeFeFeFeFeFe:sim00087,-0.042175103,-0.03894078,0,1,1
r2.7:C:cn7:CFeFeFeFeFeFe:sim00091,-0.084159896,-0.03695634,0,1,1
r2.7:C:cn7:CFeFeFeFeFeFe:sim00095,-0.082994811,-0.039353345,0,1,1
r2.7:C:cn7:CFeFeFeFeFeFe:sim00099,-0.11791031,0.023790147,0,1,1
r2.7:C:cn7:CFeFeFeFeFeFe:sim00103,-0.10164379,-0.048020024,0,1,1
r2.7:C:cn7:CFeFeFeFeFeFe:sim00107,-0.081183195,-0.02655657,0,1,1
r2.7:C:cn7:CFeFeFeFeFeFe:sim00111,-0.089612365,-0.0039928509,0,1,1
r2.7:C:cn7:CFeFeFeFeFeFe:sim00115,-0.089196377,-0.0036129504,0,1,1
r2.7:C:cn7:CFeFeFeFeFeFe:sim00119,-0.08785411,0.0081291497,0,1,1
r2.7:C:cn7:CFeFeFeFeFeFe:sim00123,-0.10818224,-0.020939307,0,1,1
r2.7:C:cn7:CFeFeFeFeFeFe:sim00127,-0.10156752,-0.016865242,0,1,1
r2.7:C:cn7:FeFeFeFeFeFeFe:sim00002,-0.043680906,-0.0067427689,0,1,1
r2.7:C:cn7:FeFeFeFeFeFeFe:sim00006,-0.043611985,-0.0045741289,0,1,1
r2.7:C:cn7:FeFeFeFeFeFeFe:sim00010,-0.058718413,-0.013265909,0,1,1
r2.7:C:cn7:FeFeFeFeFeFeFe:sim00014,-0.079394355,-0.022519918,0,1,1
r2.7:C:cn7:FeFeFeFeFeFeFe:sim00018,-0.065156274,0.011347436,0,1,1
r2.7:C:cn7:FeFeFeFeFeFeFe:sim00022,-0.067330077,0.017900744,0,1,1
r2.7:C:cn7:FeFeFeFeFeFeFe:sim00026,-0.072331145,0.014161595,0,1,1
r2.7:C:cn7:FeFeFeFeFeFeFe:sim00030,-0.073017076,0.047546495,0,1,1
r2.7:C:cn7:FeFeFeFeFeFeFe:sim00034,-0.068196446,0.019300519,0,1,1
r2.7:C:cn7:FeFeFeFeFeFeFe:sim00038,-0.069291182,0.018998256,0,1,1
r2.7:C:cn7:FeFeFeFeFeFeFe:sim00042,-0.06618128,-0.017099919,0,1,1
r2.7:C:cn7:FeFeFeFeFeFeFe:sim00046,-0.057641167,-0.034405723,0,1,1
r2.7:C:cn7:FeFeFeFeFeFeFe:sim00050,-0.063730001,0.021100648,0,1,1
r2.7:C:cn7:FeFeFeFeFeFeFe:sim00054,-0.046444856,0.0080826404,0,1,1
r2.7:C:cn7:FeFeFeFeFeFeFe:sim00058,-0.063966103,0.021183088,0,1,1
r2.7:C:cn7:FeFeFeFeFeFeFe:sim00062,-0.066857323,0.018484995,0,1,1
r2.7:C:cn7:FeFeFeFeFeFeFe:sim00066,-0.066962607,0.020393772,0,1,1
r2.7:C:cn7:FeFeFeFeFeFeFe:sim00070,-0.070467971,0.024359543,0,1,1
r2.7:C:cn7:FeFeFeFeFeFeFe:sim00074,-0.088181071,0.032525197,0,1,1
r2.7:C:cn7:FeFeFeFeFeFeFe:sim00078,-0.0824707,0.03397049,0,1,1
r2.7:C:cn7:FeFeFeFeFeFeFe:sim00082,-0.057455681,0.028762555,0,1,1
r2.7:C:cn8:CCCFeFeFeFeFe:sim00001,-0.13479412,-0.1548176,0,1,1
r2.7:C:cn8:CCFeFeFeFeFeFe:sim00003,-0.091690838,-0.1172104,0,1,1
r2.7:C:cn8:CCFeFeFeFeFeFe:sim00007,-0.089729294,-0.10679618,0,1,1
r2.7:C:cn8:CCFeFeFeFeFeFe:sim00011,-0.098708235,-0.071784236,0,1,1
r2.7:C:cn8:CCFeFeFeFeFeFe:sim00015,-0.15513651,-0.10077498,0,1,1
r2.7:C:cn8:CCFeFeFeFeFeFe:sim00019,-0.10935786,-0.073195986,0,1,1
r2.7:C:cn8:CCFeFeFeFeFeFe:sim00023,-0.1184036,-0.084407605,0,1,1
r2.7:C:cn8:CCFeFeFeFeFeFe:sim00027,-0.11603365,-0.082306363,0,1,1
r2.7:C:cn8:CCFeFeFeFeFeFe:sim00031,-0.12058798,-0.095843449,0,1,1
r2.7:C:cn8:CCFeFeFeFeFeFe:sim00035,-0.11725146,-0.078248441,0,1,1
r2.7:C:cn8:CCFeFeFeFeFeFe:sim00039,-0.092776142,-0.09306135,0,1,1
r2.7:C:cn8:CCFeFeFeFeFeFe:sim00043,-0.11633582,-0.079154812,0,1,1
r2.7:C:cn8:CCFeFeFeFeFeFe:sim00047,-0.12645638,-0.091645963,0,1,1
r2.7:C:cn8:CCFeFeFeFeFeFe:sim00051,-0.13419622,-0.061911698,0,1,1
r2.7:C:cn8:CCFeFeFeFeFeFe:sim00055,-0.11185987,-0.076575704,0,1,1
r2.7:C:cn8:CCFeFeFeFeFeFe:sim00059,-0.11185294,-0.077064566,0,1,1
r2.7:C:cn8:CCFeFeFeFeFeFe:sim00063,-0.14633475,-0.070707269,0,1,1
r2.7:C:cn8:CCFeFeFeFeFeFe:sim00067,-0.11539567,-0.078711458,0,1,1
r2.7:C:cn8:CCFeFeFeFeFeFe:sim00071,-0.11589281,-0.079001687,0,1,1
r2.7:C:cn8:CCFeFeFeFeFeFe:sim00075,-0.11139844,-0.065692261,0,1,1
r2.7:C:cn8:CCFeFeFeFeFeFe:sim00079,-0.078882635,-0.064603552,0,1,1
r2.7:C:cn8:CCFeFeFeFeFeFe:sim00083,-0.093844451,-0.098138705,0,1,1
r2.7:C:cn8:CCFeFeFeFeFeFe:sim00087,-0.10335138,-0.060009189,0,1,1
r2.7:C:cn8:CCFeFeFeFeFeFe:sim00091,-0.12065417,-0.081364296,0,1,1
r2.7:C:cn8:CCFeFeFeFeFeFe:sim00095,-0.11310124,-0.078272782,0,1,1
r2.7:C:cn8:CCFeFeFeFeFeFe:sim00099,-0.11932948,-0.047929376,0,1,1
r2.7:C:cn8:CCFeFeFeFeFeFe:sim00103,-0.15399262,-0.072982073,0,1,1
r2.7:C:cn8:CCFeFeFeFeFeFe:sim00107,-0.13163231,-0.087864794,0,1,1
r2.7:C:cn8:CCFeFeFeFeFeFe:sim00111,-0.12560342,-0.042818435,0,1,1
r2.7:C:cn8:CFeFeFeFeFeFeFe:sim00001,-0.017062582,-0.034868166,0,1,1
r2.7:C:cn8:CFeFeFeFeFeFeFe:sim00005,-0.018154966,-0.029495738,0,1,1
r2.7:C:cn8:CFeFeFeFeFeFeFe:sim00009,-0.018045954,-0.021173827,0,1,1
r2.7:C:cn8:CFeFeFeFeFeFeFe:sim00013,-0.041416053,-0.010780962,0,1,1
r2.7:C:cn8:CFeFeFeFeFeFeFe:sim00017,-0.022156848,-0.024608908,0,1,1
r2.7:C:cn8:CFeFeFeFeFeFeFe:sim00021,-0.048793435,0.02489643,0,1,1
r2.7:C:cn8:CFeFeFeFeFeFeFe:sim00025,-0.045827426,-0.0089080837,0,1,1
r2.7:C:cn8:CFeFeFeFeFeFeFe:sim00029,-0.055523485,-0.020086193,0,1,1
r2.7:C:cn8:CFeFeFeFeFeFeFe:sim00033,-0.043857347,0.0026551152,0,1,1
r2.7:C:cn8:CFeFeFeFeFeFeFe:sim00037,-0.044779476,-0.0060871402,0,1,1
r2.7:C:cn8:CFeFeFeFeFeFeFe:sim00041,-0.043607093,-0.0045358562,0,1,1
r2.7:C:cn8:CFeFeFeFeFeFeFe:sim00045,-0.030069631,-0.020575298,0,1,1
r2.7:C:cn8:CFeFeFeFeFeFeFe:sim00049,-0.044885296,-0.0063689342,0,1,1
r2.7:C:cn8:CFeFeFeFeFeFeFe:sim00053,-0.048945729,-0.0076852473,0,1,1
r2.7:C:cn8:CFeFeFeFeFeFeFe:sim00057,-0.041793678,-0.003451115,0,1,1
r2.7:C:cn8:CFeFeFeFeFeFeFe:sim00061,-0.052438702,-0.014621953,0,1,1
r2.7:C:cn8:CFeFeFeFeFeFeFe:sim00065,-0.045785412,0.0078956848,0,1,1
r2.7:C:cn8:CFeFeFeFeFeFeFe:sim00069,-0.04388592,-0.0061430461,0,1,1
r2.7:C:cn8:CFeFeFeFeFeFeFe:sim00073,-0.047110628,-0.0057724058,0,1,1
r2.7:C:cn8:CFeFeFeFeFeFeFe:sim00077,-0.044902891,-0.005951589,0,1,1
r2.7:C:cn8:CFeFeFeFeFeFeFe:sim00081,0.00033711313,-0.024626033,0,1,1
r2.7:C:cn8:CFeFeFeFeFeFeFe:sim00085,-0.0061423359,-0.01485534,0,1,1
r2.7:C:cn8:CFeFeFeFeFeFeFe:sim00089,-0.013832319,-0.0067281956,0,1,1
r2.7:C:cn8:CFeFeFeFeFeFeFe:sim00093,-0.034953937,0.0044612116,0,1,1
r2.7:C:cn8:CFeFeFeFeFeFeFe:sim00097,-0.035529856,-0.0016091362,0,1,1
r2.7:C:cn8:CFeFeFeFeFeFeFe:sim00101,-0.059500232,-0.015012743,0,1,1
r2.7:C:cn8:CFeFeFeFeFeFeFe:sim00105,-0.045907911,0.0036807773,0,1,1
r2.7:C:cn8:CFeFeFeFeFeFeFe:sim00109,-0.05926501,-0.014469142,0,1,1
r2.7:C:cn8:CFeFeFeFeFeFeFe:sim00113,-0.052966837,0.025433552,0,1,1
r2.7:C:cn8:CFeFeFeFeFeFeFe:sim00117,-0.081117541,0.032093275,0,1,1
r2.7:C:cn8:CFeFeFeFeFeFeFe:sim00121,-0.067336828,0.011196694,0,1,1
r2.7:C:cn8:CFeFeFeFeFeFeFe:sim00125,-0.062699333,0.013132137,0,1,1
r2.7:C:cn8:CFeFeFeFeFeFeFe:sim00129,-0.064399973,0.012509194,0,1,1
r2.7:C:cn8:CFeFeFeFeFeFeFe:sim00133,-0.064410746,0.011858766,0,1,1
r2.7:C:cn8:CFeFeFeFeFeFeFe:sim00137,-0.10038105,0.010755562,0,1,1
r2.7:C:cn8:CFeFeFeFeFeFeFe:sim00141,-0.13965072,-0.0010952894,0,1,1
r2.7:C:cn8:FeFeFeFeFeFeFeFe:sim00001,0.012837493,0.0070300899,0,1,1
r2.7:C:cn8:FeFeFeFeFeFeFeFe:sim00005,0.0092919348,0.0088922894,0,1,1
r2.7:C:cn8:FeFeFeFeFeFeFeFe:sim00009,0.034088742,0.0036571303,0,1,1
r2.7:C:cn8:FeFeFeFeFeFeFeFe:sim00013,-0.019976476,0.016199492,0,1,1
r2.7:C:cn8:FeFeFeFeFeFeFeFe:sim00017,-0.010700412,0.026599813,0,1,1
r2.7:C:cn8:FeFeFeFeFeFeFeFe:sim00021,-0.012862971,0.028883632,0,1,1
r2.7:C:cn8:FeFeFeFeFeFeFeFe:sim00025,-0.016259424,0.027827326,0,1,1
r2.7:C:cn8:FeFeFeFeFeFeFeFe:sim00029,-0.014999066,0.028234959,0,1,1
r2.7:C:cn8:FeFeFeFeFeFeFeFe:sim00033,-0.014753305,0.03692133,0,1,1
r2.7:C:cn8:FeFeFeFeFeFeFeFe:sim00037,-0.013411692,0.030907316,0,1,1
r2.7:C:cn8:FeFeFeFeFeFeFeFe:sim00041,-0.014288899,0.031560525,0,1,1
r2.7:C:cn8:FeFeFeFeFeFeFeFe:sim00045,-0.00029657144,0.017861176,0,1,1
r2.7:C:cn8:FeFeFeFeFeFeFeFe:sim00049,-0.0135673,0.030708428,0,1,1
r2.7:C:cn8:FeFeFeFeFeFeFeFe:sim00053,-0.0089689558,0.034051146,0,1,1
r2.7:C:cn8:FeFeFeFeFeFeFeFe:sim00057,-0.010136044,0.030826531,0,1,1
r2.7:C:cn8:FeFeFeFeFeFeFeFe:sim00061,-0.011365424,0.032913454,0,1,1
r2.7:C:cn9:CCCFeFeFeFeFeFe:sim00003,-0.10783875,-0.17017323,0,1,1
r2.7:C:cn9:CCCFeFeFeFeFeFe:sim00007,-0.1076152,-0.1701255,0,1,1
r2.7:C:cn9:CCCFeFeFeFeFeFe:sim00011,-0.11738221,-0.13547286,0,1,1
r2.7:C:cn9:CCCFeFeFeFeFeFe:sim00015,-0.1448054,-0.16977571,0,1,1
r2.7:C:cn9:CCCFeFeFeFeFeFe:sim00019,-0.1398409,-0.15103021,0,1,1
r2.7:C:cn9:CCCFeFeFeFeFeFe:sim00023,-0.12932146,-0.14298867,0,1,1
r2.7:C:cn9:CCCFeFeFeFeFeFe:sim00027,-0.13286147,-0.1441938,0,1,1
r2.7:C:cn9:CCCFeFeFeFeFeFe:sim00031,-0.15393816,-0.17841958,0,1,1
r2.7:C:cn9:CCCFeFeFeFeFeFe:sim00035,-0.13359156,-0.14176469,0,1,1
r2.7:C:cn9:CCCFeFeFeFeFeFe:sim00039,-0.13305667,-0.14157468,0,1,1
r2.7:C:cn9:CCFeFeFeFeFeFeFe:sim00003,-0.050659671,-0.085068271,0,1,1
r2.7:C:cn9:CCFeFeFeFeFeFeFe:sim00007,-0.056613974,-0.088742957,0,1,1
r2.7:C:cn9:CCFeFeFeFeFeFeFe:sim00011,-0.058906093,-0.055163439,0,1,1
r2.7:C:cn9:CCFeFeFeFeFeFeFe:sim00015,-0.068628572,-0.06471213,0,1,1
r2.7:C:cn9:CCFeFeFeFeFeFeFe:sim00019,-0.063269287,-0.083423875,0,1,1
r2.7:C:cn9:CCFeFeFeFeFeFeFe:sim00023,-0.075324535,-0.065416627,0,1,1
r2.7:C:cn9:CCFeFeFeFeFeFeFe:sim00027,-0.072580844,-0.062121402,0,1,1
r2.7:C:cn9:CCFeFeFeFeFeFeFe:sim00031,-0.075784974,-0.07457307,0,1,1
r2.7:C:cn9:CCFeFeFeFeFeFeFe:sim00035,-0.035785977,-0.057973571,0,1,1
r2.7:C:cn9:CCFeFeFeFeFeFeFe:sim00039,-0.07297381,-0.060474407,0,1,1
r2.7:C:cn9:CCFeFeFeFeFeFeFe:sim00043,-0.074233644,-0.06056812,0,1,1
r2.7:C:cn9:CCFeFeFeFeFeFeFe:sim00047,-0.073142931,-0.060658041,0,1,1
r2.7:C:cn9:CCFeFeFeFeFeFeFe:sim00051,-0.077756181,-0.032749921,0,1,1
r2.7:C:cn9:CCFeFeFeFeFeFeFe:sim00055,-0.069545239,-0.058233365,0,1,1
r2.7:C:cn9:CCFeFeFeFeFeFeFe:sim00059,-0.069770195,-0.058506232,0,1,1
r2.7:C:cn9:CCFeFeFeFeFeFeFe:sim00063,-0.078951731,-0.061234217,0,1,1
r2.7:C:cn9:CCFeFeFeFeFeFeFe:sim00067,-0.072572663,-0.060473289,0,1,1
r2.7:C:cn9:CCFeFeFeFeFeFeFe:sim00071,-0.0730168,-0.06043034,0,1,1
r2.7:C:cn9:CFeFeFeFeFeFeFeFe:sim00003,0.0052434122,-0.020568863,0,1,1
r2.7:C:cn9:CFeFeFeFeFeFeFeFe:sim00007,0.0051693856,-0.020648932,0,1,1
r2.7:C:cn9:CFeFeFeFeFeFeFeFe:sim00011,0.023240525,0.0016896226,0,1,1
r2.7:C:cn9:CFeFeFeFeFeFeFeFe:sim00015,-0.012033531,-0.0038377428,0,1,1
r2.7:C:cn9:CFeFeFeFeFeFeFeFe:sim00019,-0.010759854,0.0046123257,0,1,1
r2.7:C:cn9:CFeFeFeFeFeFeFeFe:sim00023,-0.016873224,-0.0029394599,0,1,1
r2.7:C:cn9:CFeFeFeFeFeFeFeFe:sim00027,0.0055697872,-0.022186244,0,1,1
r2.7:C:cn9:CFeFeFeFeFeFeFeFe:sim00031,-0.013478292,-0.0065173679,0,1,1
r2.7:C:cn9:CFeFeFeFeFeFeFeFe:sim00035,-0.015012505,0.0013092386,0,1,1
r2.7:C:cn9:CFeFeFeFeFeFeFeFe:sim00039,-0.014956504,0.0004762914,0,1,1
r2.7:C:cn9:CFeFeFeFeFeFeFeFe:sim00043,-0.015425852,0.0011271205,0,1,1
r2.7:C:cn9:CFeFeFeFeFeFeFeFe:sim00047,-0.015108728,0.0010366599,0,1,1
r2.7:C:cn9:CFeFeFeFeFeFeFeFe:sim00051,-0.029228229,0.015057895,0,1,1
r2.7:C:cn9:CFeFeFeFeFeFeFeFe:sim00055,-0.0058218176,0.0078525664,0,1,1
r2.7:C:cn9:CFeFeFeFeFeFeFeFe:sim00059,-0.011578091,0.003136154,0,1,1
r2.7:C:cn9:FeFeFeFeFeFeFeFeFe:sim00002,0.027750667,0.013959615,0,1,1
r2.7:C:cn9:FeFeFeFeFeFeFeFeFe:sim00006,0.027960006,0.01579725,0,1,1
r2.7:Fe:cn10:CCCCCCFeFeFeFe:sim00001,-0.36793947,-0.32136872,0,1,1
r2.7:Fe:cn10:CCCCCFeFeFeFeFe:sim00004,-0.26913679,-0.27808172,0,1,1
r2.7:Fe:cn10:CCCCCFeFeFeFeFe:sim00008,-0.24466747,-0.25072536,0,1,1
r2.7:Fe:cn10:CCCCCFeFeFeFeFe:sim00012,-0.29205593,-0.21453047,0,1,1
r2.7:Fe:cn10:CCCCCFeFeFeFeFe:sim00016,-0.29284298,-0.21263196,0,1,1
r2.7:Fe:cn10:CCCCCFeFeFeFeFe:sim00020,-0.27838725,-0.22787604,0,1,1
r2.7:Fe:cn10:CCCCCFeFeFeFeFe:sim00024,-0.26398221,-0.25948554,0,1,1
r2.7:Fe:cn10:CCCCCFeFeFeFeFe:sim00028,-0.30257222,-0.2127295,0,1,1
r2.7:Fe:cn10:CCCCCFeFeFeFeFe:sim00032,-0.30379421,-0.21108638,0,1,1
r2.7:Fe:cn10:CCCCCFeFeFeFeFe:sim00036,-0.30954683,-0.21322292,0,1,1
r2.7:Fe:cn10:CCCCFeFeFeFeFeFe:sim00002,-0.19602446,-0.14211024,0,1,1
r2.7:Fe:cn10:CCCCFeFeFeFeFeFe:sim00006,-0.19590116,-0.13982473,0,1,1
r2.7:Fe:cn10:CCCCFeFeFeFeFeFe:sim00010,-0.22497903,-0.16733706,0,1,1
r2.7:Fe:cn10:CCCCFeFeFeFeFeFe:sim00014,-0.24027726,-0.14261104,0,1,1
r2.7:Fe:cn10:CCCCFeFeFeFeFeFe:sim00018,-0.20379755,-0.099012882,0,1,1
r2.7:Fe:cn10:CCCCFeFeFeFeFeFe:sim00022,-0.22098482,-0.11574227,0,1,1
r2.7:Fe:cn10:CCCCFeFeFeFeFeFe:sim00026,-0.22878999,-0.12480028,0,1,1
r2.7:Fe:cn10:CCCCFeFeFeFeFeFe:sim00030,-0.22810763,-0.085988343,0,1,1
r2.7:Fe:cn10:CCCCFeFeFeFeFeFe:sim00034,-0.22212043,-0.11328046,0,1,1
r2.7:Fe:cn10:CCCCFeFeFeFeFeFe:sim00038,-0.22201547,-0.11348183,0,1,1
r2.7:Fe:cn10:CCCCFeFeFeFeFeFe:sim00042,-0.22500817,-0.11745019,0,1,1
r2.7:Fe:cn10:CCCCFeFeFeFeFeFe:sim00046,-0.2146284,-0.14031771,0,1,1
r2.7:Fe:cn10:CCCCFeFeFeFeFeFe:sim00050,-0.21700564,-0.11130332,0,1,1
r2.7:Fe:cn10:CCCCFeFeFeFeFeFe:sim00054,-0.21076329,-0.13751864,0,1,1
r2.7:Fe:cn10:CCCCFeFeFeFeFeFe:sim00058,-0.19578344,-0.12556209,0,1,1
