0.00000000 -0.00124029 -0.00052275 -0.00030194 3.46854838 3.51834268 3.56250609 3.64563983 3.66057444 3.95363461 4.00787689 4.06707595 4.10042325 4.18346305 4.21809983 4.26481879 4.37368905 4.51095686 4.56851518 4.66768744 4.67827982 5.04117068 5.11540961 5.18833593 5.19247629 5.22811361 5.27869323 5.29304636 5.30420949 5.45031882 5.47438079 5.50323039 5.54628848 5.69889755 5.71206153 5.81779954 5.84784129 5.86547058 5.87350444 5.90351199 6.10463900 6.12639888 6.15241159 6.18861725 6.30497091 6.32372137 6.33432943 6.38926832 6.42353058 6.48306570 6.48358462 6.54294824 6.57107852 6.59039932 6.63183929 6.73561932 6.76252387 6.86874501 6.93435068 7.07739193 7.10511308 7.14036524 7.16087716 7.17358292 7.18672669 7.20237875 7.36381667 7.39419433 7.54258089 7.66127208 7.77185633 7.82626407 7.83863760 7.85506407 7.87345083 7.88578490 7.91614445 7.98571455 8.08173151 8.12266906 8.20204599 8.24820865 8.26277341 8.40746670 8.41456134 8.44126791 8.45692128 8.50903198 8.62109428 8.67878192 8.82885894 8.93501570 9.30139799 9.95866980 11.30991394 11.65020535 12.12003548 18.00453012 18.28249302 18.29313927 18.63415486 20.17571404 20.81636344 24.23353113 24.79531703 24.81544203
0.00063437 0.01783336 0.02260181 0.04143717 3.46873963 3.51331501 3.56739002 3.64568110 3.66070453 3.95368525 4.00788226 4.06712657 4.09756920 4.18571966 4.21815244 4.26543246 4.37367615 4.51097598 4.56848469 4.66768459 4.67833798 5.04123268 5.11515874 5.18812746 5.19228084 5.22771961 5.27868982 5.29347643 5.30462933 5.45031096 5.47439508 5.50177768 5.54773178 5.69906568 5.71154466 5.81736053 5.84807600 5.86470047 5.87423805 5.90417544 6.10453725 6.12656870 6.15230170 6.18858063 6.30460582 6.32356850 6.33458412 6.38936502 6.42350132 6.48199642 6.48366493 6.54313079 6.57104166 6.59048901 6.63175247 6.73540622 6.76327421 6.86891095 6.93434713 7.07739836 7.10510253 7.14034453 7.16092774 7.17322963 7.18683073 7.20237278 7.36379102 7.39453437 7.54276730 7.66128683 7.77186087 7.82600782 7.83863692 7.85503757 7.87340883 7.88595232 7.91614079 7.98586949 8.08171290 8.12258434 8.20203904 8.24818530 8.26282089 8.40724250 8.41477086 8.44073943 8.45742096 8.50902352 8.62107240 8.67872038 8.82884921 8.93506046 9.30134501 9.95851765 11.30995400 11.65020075 12.11995319 18.00453189 18.28248512 18.29314644 18.63415195 20.17576350 20.81633394 24.23353069 24.79531798 24.81544087
0.00126875 0.03567076 0.04531063 0.08284500 3.46931316 3.50192636 3.57833598 3.64580492 3.66110590 3.95383734 4.00788744 4.06727856 4.08987404 4.19156423 4.21831026 4.26734259 4.37363745 4.51103293 4.56839363 4.66767604 4.67851244 5.04141773 5.11440426 5.18749754 5.19171108 5.22658175 5.27868856 5.29472722 5.30586444 5.45028090 5.47443854 5.49790191 5.55158597 5.69957016 5.71000467 5.81616486 5.84868777 5.86253543 5.87639880 5.90601966 6.10424195 6.12706725 6.15197333 6.18847106 6.30354740 6.32311015 6.33531241 6.38965394 6.42341303 6.47885825 6.48390476 6.54365082 6.57093156 6.59074477 6.63149230 6.73483825 6.76541635 6.86941995 6.93433649 7.07741732 7.10507078 7.14028241 7.16106535 7.17220675 7.18712667 7.20235485 7.36372602 7.39553490 7.54332745 7.66133116 7.77187132 7.82524983 7.83863490 7.85495812 7.87329836 7.88643346 7.91612981 7.98633239 8.08165707 8.12233064 8.20201781 8.24811532 8.26296321 8.40663443 8.41533468 8.43931773 8.45875548 8.50899891 8.62100678 8.67853612 8.82882002 8.93519449 9.30118610 9.95806120 11.31007419 11.65018697 12.11970638 18.00453719 18.28246150 18.29316787 18.63414320 20.17591184 20.81624546 24.23352937 24.79532081 24.81543739
0.00190312 0.05350770 0.06799516 0.12425141 3.47026831 3.48809213 3.59138905 3.64601128 3.66181699 3.95409135 4.00785340 4.06753231 4.07900651 4.19917197 4.21857322 4.27074396 4.37357302 4.51112653 4.56824333 4.66766178 4.67880305 5.04172293 5.11314109 5.18643333 5.19081388 5.22481830 5.27871155 5.29669384 5.30784870 5.45020699 5.47451290 5.49251070 5.55696578 5.70041115 5.70747314 5.81449051 5.84948991 5.85929731 5.87986230 5.90872024 6.10377963 6.12786505 6.15143029 6.18828940 6.30188786 6.32234701 6.33642530 6.39013167 6.42326402 6.47383601 6.48430087 6.54444193 6.57074963 6.59113131 6.63105967 6.73406859 6.76868816 6.87030552 6.93431875 7.07744772 7.10501751 7.14017886 7.16123314 7.17062552 7.18757967 7.20232492 7.36365296 7.39714234 7.54426410 7.66140533 7.77187782 7.82402166 7.83863158 7.85482584 7.87315747 7.88717445 7.91611155 7.98709755 8.08156403 8.12190932 8.20198111 8.24799889 8.26320007 8.40576664 8.41612816 8.43731016 8.46061517 8.50896052 8.62089745 8.67823028 8.82877138 8.93541702 9.30092136 9.95730054 11.31027447 11.65016402 12.11929527 18.00454602 18.28242237 18.29320335 18.63412864 20.17615899 20.81609800 24.23352717 24.79532553 24.81543159
0.00253750 0.07134502 0.09067305 0.16564859 3.47160397 3.47324089 3.60503348 3.64630017 3.66292315 3.95444809 4.00768786 4.06634245 4.06788845 4.20699399 4.21894123 4.27590138 4.37348294 4.51125473 4.56803599 4.66764180 4.67920959 5.04214339 5.11136254 5.18491585 5.18965830 5.22258897 5.27878430 5.29923618 5.31049039 5.45004412 5.47462108 5.48632473 5.56319724 5.70158888 5.70400145 5.81262278 5.85034010 5.85530297 5.88443166 5.91195588 6.10318546 6.12892188 6.15067893 6.18803716 6.29973761 6.32127988 6.33781757 6.39079257 6.42305060 6.46717778 6.48484791 6.54543107 6.57049825 6.59160222 6.63045604 6.73323533 6.77278139 6.87162330 6.93429393 7.07748764 7.10494217 7.14003387 7.16126206 7.16871676 7.18815914 7.20228293 7.36361201 7.39928117 7.54558160 7.66150977 7.77186286 7.82237397 7.83862701 7.85464096 7.87302945 7.88810838 7.91608605 7.98815571 8.08143382 8.12132258 8.20192702 8.24783634 8.26353094 8.40473787 8.41705169 8.43495326 8.46275944 8.50891243 8.62074449 8.67780469 8.82870329 8.93572675 9.30055093 9.95623578 11.31055478 11.65013191 12.11872020 18.00455836 18.28236807 18.29325255 18.63410828 20.17650479 20.81589160 24.23352410 24.79533214 24.81542348
0.00317187 0.08918305 0.11334766 0.20703213 3.45787073 3.47331860 3.61858523 3.64667160 3.66460772 3.95490873 4.00716869 4.05287579 4.06834790 4.21404731 4.21941414 4.28302521 4.37336735 4.51141468 4.56777477 4.66761611 4.67973174 5.04267219 5.10906276 5.18292411 5.18832507 5.22006130 5.27892785 5.30220789 5.31368827 5.44970343 5.47476723 5.47982872 5.56988767 5.69965816 5.70310345 5.81077398 5.85078685 5.85118048 5.88988020 5.91548573 6.10249545 6.13019443 6.14972804 6.18771651 6.29719772 6.31990925 6.33939527 6.39162902 6.42276471 6.45915121 6.48553853 6.54656048 6.57018070 6.59211165 6.62968353 6.73242208 6.77739582 6.87344944 6.93426203 7.07753414 7.10484403 7.13984745 7.16066756 7.16702219 7.18884877 7.20222880 7.36364207 7.40186656 7.54728553 7.66164511 7.77179967 7.82037446 7.83862129 7.85440381 7.87295006 7.88917142 7.91605338 7.98949442 8.08126646 8.12057343 8.20185295 8.24762812 8.26395511 8.40360747 8.41804473 8.43238566 8.46504362 8.50886073 8.62054800 8.67726192 8.82861576 8.93612191 9.30007502 9.95486711 11.31091504 11.65009069 12.11798165 18.00457421 18.28229905 18.29331503 18.63408215 20.17694907 20.81562629 24.23352016 24.79534063 24.81541305
0.00380625 0.10702203 0.13601994 0.24839826 3.44218700 3.47541024 3.63142867 3.64712555 3.66727751 3.95547482 4.00570056 4.03964057 4.06891189 4.21988368 4.21999176 4.29212400 4.37322641 4.51160264 4.56746386 4.66758468 4.68036911 5.04330018 5.10623935 5.18044126 5.18689594 5.21738661 5.27915593 5.30547352 5.31734223 5.44900584 5.47342571 5.47495676 5.57681886 5.69452449 5.70495469 5.80907418 5.84590472 5.85200748 5.89599533 5.91914529 6.10174135 6.13164116 6.14858882 6.18733043 6.29434953 6.31823460 6.34108584 6.39263160 6.42238613 6.45002612 6.48636352 6.54779236 6.56980121 6.59262221 6.62874488 6.73166514 6.78225016 6.87587627 6.93422306 7.07758301 7.10472214 7.13961957 7.15871103 7.16633262 7.18964492 7.20216243 7.36377472 7.40481335 7.54938223 7.66181221 7.77164980 7.81810632 7.83861453 7.85411479 7.87294332 7.89031055 7.91601361 7.99109843 8.08106202 8.11966561 8.20175566 8.24737483 8.26447166 8.40240865 8.41907251 8.42968427 8.46738241 8.50881389 8.62030812 8.67660523 8.82850881 8.93660026 9.29949390 9.95319475 11.31135515 11.65004039 12.11708024 18.00459356 18.28221586 18.29339022 18.63405029 20.17749155 20.81530212 24.23351534 24.79535101 24.81540032
0.00444062 0.12486217 0.15869018 0.28974336 3.42628848 3.47787649 3.64260357 3.64766202 3.67178963 3.95614834 4.00166686 4.02850845 4.06958196 4.22067386 4.22448032 4.30296403 4.37306035 4.51181396 4.56710851 4.66754750 4.68112120 5.04401593 5.10289578 5.17746182 5.18544510 5.21468633 5.27947560 5.30891394 5.32135868 5.44759342 5.46760872 5.47519641 5.58386549 5.68868881 5.70714194 5.80758977 5.84075789 5.85283782 5.90259936 5.92282185 6.10094849 6.13322406 6.14727483 6.18688283 6.29125526 6.31625350 6.34283734 6.39378931 6.42184830 6.44010047 6.48731199 6.54910398 6.56936487 6.59310804 6.62764353 6.73097160 6.78708455 6.87900301 6.93417705 7.07762831 7.10457533 7.13935025 7.15546469 7.16662592 7.19055175 7.20208367 7.36403228 7.40804101 7.55187813 7.66201219 7.77136029 7.81566777 7.83860688 7.85377444 7.87302266 7.89148513 7.91596685 7.99295030 8.08082055 8.11860345 8.20163142 8.24707718 8.26507945 8.40116017 8.42011442 8.42689287 8.46972082 8.50878321 8.62002500 8.67583852 8.82838245 8.93715914 9.29880790 9.95121899 11.31187498 11.64998107 12.11601673 18.00461637 18.28211914 18.29347751 18.63401275 20.17813195 20.81491914 24.23350967 24.79536326 24.81538529
0.00507500 0.14270367 0.18135841 0.33106391 3.41022876 3.48071450 3.64828099 3.65089462 3.67930042 3.95693175 3.99270131 4.02200087 4.07036005 4.22146015 4.22804979 4.31517582 4.37286941 4.51204306 4.56671519 4.66750456 4.68198742 5.04480545 5.09904300 5.17399762 5.18403368 5.21204637 5.27988923 5.31242444 5.32565251 5.44489437 5.46304131 5.47549429 5.59095157 5.68224088 5.70966375 5.80634506 5.83541353 5.85369100 5.90955096 5.92643369 6.10013569 6.13490837 6.14580193 6.18637871 6.28796219 6.31396047 6.34461408 6.39508986 6.42077563 6.42996370 6.48837151 6.55048106 6.56887762 6.59355436 6.62638368 6.73033357 6.79166950 6.88292075 6.93412406 7.07766174 7.10440229 7.13903950 7.15145159 7.16742960 7.19157729 7.20199237 7.36442857 7.41147588 7.55477900 7.66224651 7.77086099 7.81317218 7.83859851 7.85338344 7.87319402 7.89266576 7.91591319 7.99503094 8.08054213 8.11739182 8.20147607 8.24673604 8.26577720 8.39987292 8.42115737 8.42403762 8.47201798 8.50878350 8.61969884 8.67496632 8.82823671 8.93779548 9.29801742 9.94894017 11.31247439 11.64991278 12.11479200 18.00464264 18.28200958 18.29357621 18.63396956 20.17886989 20.81447743 24.23350313 24.79537739 24.81536796
0.00570937 0.16054675 0.20402454 0.37235649 3.39403976 3.48392105 3.64898245 3.65620018 3.68987310 3.95782807 3.97942524 4.01959542 4.07124848 4.22235029 4.23086045 4.32838968 4.37265392 4.51228345 4.56629168 4.66745583 4.68296710 5.04565197 5.09469983 5.17007999 5.18270724 5.20951820 5.28039642 5.31590938 5.33014707 5.44054090 5.46016420 5.47585994 5.59802854 5.67526732 5.71251760 5.80533936 5.82991790 5.85458347 5.91673834 5.92991621 6.09931592 6.13666128 6.14418833 6.18582452 6.28450704 6.31134568 6.34639200 6.39651990 6.41574397 6.42324078 6.48952834 6.55191279 6.56834616 6.59395530 6.62497037 6.72973671 6.79582110 6.88769349 6.93406414 7.07767174 7.10420148 7.13868737 7.14695859 7.16850942 7.19273107 7.20188835 7.36497066 7.41505202 7.55808910 7.66251700 7.77006402 7.81074717 7.83858962 7.85294260 7.87345873 7.89383232 7.91585278 7.99732021 8.08022683 8.11603603 8.20128511 8.24635243 8.26656340 8.39855341 8.42113501 8.42219235 8.47423860 8.50883372 8.61932986 8.67399371 8.82807161 8.93850584 9.29712290 9.94635868 11.31315321 11.64983559 12.11340707 18.00467234 18.28188792 18.29368559 18.63392080 20.17970496 20.81397707 24.23349575 24.79539339 24.81534834
