source,source_idx,reason
large_file,11096,rejected_by_BondFilter_min_interatomic_distance
large_file,11097,rejected_by_BondFilter_min_interatomic_distance
large_file,11098,rejected_by_BondFilter_min_interatomic_distance
large_file,11100,rejected_by_BondFilter_min_interatomic_distance
large_file,11101,rejected_by_BondFilter_min_interatomic_distance
large_file,11102,rejected_by_BondFilter_min_interatomic_distance
large_file,11103,rejected_by_BondFilter_min_interatomic_distance
large_file,11104,rejected_by_BondFilter_min_interatomic_distance
large_file,11105,rejected_by_BondFilter_min_interatomic_distance
large_file,11106,rejected_by_BondFilter_min_interatomic_distance
large_file,11107,rejected_by_BondFilter_min_interatomic_distance
large_file,11108,rejected_by_BondFilter_min_interatomic_distance
large_file,11109,rejected_by_BondFilter_min_interatomic_distance
large_file,11111,rejected_by_BondFilter_min_interatomic_distance
large_file,11112,rejected_by_BondFilter_min_interatomic_distance
large_file,11113,rejected_by_BondFilter_min_interatomic_distance
large_file,11114,rejected_by_BondFilter_min_interatomic_distance
large_file,11115,rejected_by_BondFilter_min_interatomic_distance
large_file,11116,rejected_by_BondFilter_min_interatomic_distance
large_file,11117,rejected_by_BondFilter_min_interatomic_distance
large_file,11118,rejected_by_BondFilter_min_interatomic_distance
large_file,11119,rejected_by_BondFilter_min_interatomic_distance
large_file,11120,rejected_by_BondFilter_min_interatomic_distance
large_file,11123,rejected_by_BondFilter_min_interatomic_distance
large_file,11124,rejected_by_BondFilter_min_interatomic_distance
large_file,11125,rejected_by_BondFilter_min_interatomic_distance
large_file,11126,rejected_by_BondFilter_min_interatomic_distance
large_file,11127,rejected_by_BondFilter_min_interatomic_distance
large_file,11128,rejected_by_BondFilter_min_interatomic_distance
large_file,11130,rejected_by_BondFilter_min_interatomic_distance
large_file,11131,rejected_by_BondFilter_min_interatomic_distance
large_file,11132,rejected_by_BondFilter_min_interatomic_distance
large_file,11133,rejected_by_BondFilter_min_interatomic_distance
large_file,11134,rejected_by_BondFilter_min_interatomic_distance
large_file,11135,rejected_by_BondFilter_min_interatomic_distance
large_file,11136,rejected_by_BondFilter_min_interatomic_distance
large_file,11138,rejected_by_BondFilter_min_interatomic_distance
large_file,11139,rejected_by_BondFilter_min_interatomic_distance
large_file,11140,rejected_by_BondFilter_min_interatomic_distance
large_file,11141,rejected_by_BondFilter_min_interatomic_distance
large_file,11142,rejected_by_BondFilter_min_interatomic_distance
large_file,11143,rejected_by_BondFilter_min_interatomic_distance
large_file,11144,rejected_by_BondFilter_min_interatomic_distance
large_file,11145,rejected_by_BondFilter_min_interatomic_distance
large_file,11146,rejected_by_BondFilter_min_interatomic_distance
large_file,11147,rejected_by_BondFilter_min_interatomic_distance
large_file,11149,rejected_by_BondFilter_min_interatomic_distance
large_file,11150,rejected_by_BondFilter_min_interatomic_distance
large_file,11151,rejected_by_BondFilter_min_interatomic_distance
large_file,11152,rejected_by_BondFilter_min_interatomic_distance
large_file,11153,rejected_by_BondFilter_min_interatomic_distance
large_file,11154,rejected_by_BondFilter_min_interatomic_distance
large_file,11155,rejected_by_BondFilter_min_interatomic_distance
large_file,11156,rejected_by_BondFilter_min_interatomic_distance
large_file,11157,rejected_by_BondFilter_min_interatomic_distance
large_file,11158,rejected_by_BondFilter_min_interatomic_distance
large_file,11160,rejected_by_BondFilter_min_interatomic_distance
