rank,source,source_idx,n_effective_envs_in_structure,pass,new_gain,covered,uncovered,coverage_pct
106,large_file,4191,91,rare,29,4005,19626,16.948076678938683
107,large_file,4367,90,rare,29,4034,19597,17.07079683466633
108,large_file,4376,76,rare,29,4063,19568,17.193516990393974
109,large_file,4469,92,rare,29,4092,19539,17.31623714612162
110,large_file,15174,82,rare,29,4121,19510,17.438957301849264
111,large_file,15181,78,rare,29,4150,19481,17.561677457576913
112,large_file,15238,77,rare,29,4179,19452,17.684397613304558
113,large_file,15301,86,rare,29,4208,19423,17.807117769032203
114,large_file,3939,88,rare,28,4236,19395,17.925606195251998
115,large_file,3948,82,rare,28,4264,19367,18.044094621471796
116,large_file,3968,89,rare,28,4292,19339,18.16258304769159
117,large_file,4001,87,rare,28,4320,19311,18.28107147391139
118,large_file,4114,90,rare,28,4348,19283,18.399559900131184
119,large_file,4285,85,rare,28,4376,19255,18.51804832635098
120,large_file,4286,88,rare,28,4404,19227,18.636536752570777
121,large_file,4341,89,rare,28,4432,19199,18.75502517879057
122,large_file,8827,120,rare,28,4460,19171,18.873513605010366
123,large_file,15149,84,rare,28,4488,19143,18.992002031230165
124,large_file,15173,86,rare,28,4516,19115,19.11049045744996
125,large_file,15254,90,rare,28,4544,19087,19.228978883669757
126,large_file,3957,74,rare,27,4571,19060,19.3432355803817
127,large_file,3960,85,rare,27,4598,19033,19.45749227709365
128,large_file,4116,88,rare,27,4625,19006,19.571748973805594
129,large_file,4337,88,rare,27,4652,18979,19.68600567051754
130,large_file,4377,88,rare,27,4679,18952,19.800262367229486
131,large_file,4505,92,rare,27,4706,18925,19.914519063941434
132,large_file,4816,91,rare,27,4733,18898,20.028775760653378
133,large_file,4891,83,rare,27,4760,18871,20.143032457365326
134,large_file,8754,106,rare,27,4787,18844,20.25728915407727
135,large_file,9635,77,rare,27,4814,18817,20.371545850789218
136,large_file,15164,79,rare,27,4841,18790,20.485802547501162
137,large_file,4030,86,rare,26,4867,18764,20.59582751470526
138,large_file,4102,88,rare,26,4893,18738,20.705852481909357
139,large_file,4107,90,rare,26,4919,18712,20.815877449113454
140,large_file,4303,85,rare,26,4945,18686,20.925902416317548
141,large_file,4371,90,rare,26,4971,18660,21.035927383521646
142,large_file,4382,85,rare,26,4997,18634,21.145952350725743
143,large_file,4385,91,rare,26,5023,18608,21.255977317929837
144,large_file,9550,82,rare,26,5049,18582,21.366002285133934
145,large_file,9568,77,rare,26,5075,18556,21.47602725233803
146,large_file,9768,74,rare,26,5101,18530,21.586052219542125
147,large_file,15153,83,rare,26,5127,18504,21.696077186746223
148,large_file,15198,84,rare,26,5153,18478,21.80610215395032
149,large_file,2791,75,rare,25,5178,18453,21.911895391646567
150,large_file,3987,74,rare,25,5203,18428,22.017688629342814
151,large_file,4149,85,rare,25,5228,18403,22.123481867039057
152,large_file,4328,89,rare,25,5253,18378,22.229275104735304
153,large_file,4456,86,rare,25,5278,18353,22.33506834243155
154,large_file,10499,83,rare,25,5303,18328,22.440861580127798
155,large_file,15195,78,rare,25,5328,18303,22.546654817824045
156,large_file,15221,79,rare,25,5353,18278,22.652448055520292
157,large_file,15267,83,rare,25,5378,18253,22.75824129321654
158,large_file,15315,80,rare,25,5403,18228,22.864034530912782
159,large_file,15474,87,rare,25,5428,18203,22.96982776860903
160,large_file,15581,77,rare,25,5453,18178,23.075621006305276
161,large_file,15763,77,rare,25,5478,18153,23.181414244001523
162,large_file,3979,88,rare,24,5502,18129,23.28297575218992
163,large_file,4009,90,rare,24,5526,18105,23.384537260378316
164,large_file,4133,87,rare,24,5550,18081,23.486098768566713
165,large_file,4203,85,rare,24,5574,18057,23.58766027675511
166,large_file,4206,85,rare,24,5598,18033,23.689221784943506
167,large_file,4226,87,rare,24,5622,18009,23.790783293131902
168,large_file,4268,90,rare,24,5646,17985,23.8923448013203
169,large_file,4515,82,rare,24,5670,17961,23.993906309508695
170,large_file,10602,83,rare,24,5694,17937,24.09546781769709
171,large_file,15152,77,rare,24,5718,17913,24.197029325885488
172,large_file,15252,71,rare,24,5742,17889,24.298590834073885
173,large_file,15293,85,rare,24,5766,17865,24.40015234226228
174,large_file,3950,88,rare,23,5789,17842,24.49748212094283
175,large_file,3989,87,rare,23,5812,17819,24.594811899623377
176,large_file,4038,93,rare,23,5835,17796,24.692141678303923
177,large_file,4067,87,rare,23,5858,17773,24.78947145698447
178,large_file,4257,90,rare,23,5881,17750,24.886801235665015
