source,source_idx,reason
large_file,113,rejected_by_BondFilter_min_interatomic_distance
large_file,114,rejected_by_BondFilter_min_interatomic_distance
large_file,115,rejected_by_BondFilter_min_interatomic_distance
large_file,116,rejected_by_BondFilter_min_interatomic_distance
large_file,117,rejected_by_BondFilter_min_interatomic_distance
large_file,118,rejected_by_BondFilter_min_interatomic_distance
large_file,119,rejected_by_BondFilter_min_interatomic_distance
large_file,120,rejected_by_BondFilter_min_interatomic_distance
large_file,121,rejected_by_BondFilter_min_interatomic_distance
large_file,122,rejected_by_BondFilter_min_interatomic_distance
large_file,123,rejected_by_BondFilter_min_interatomic_distance
large_file,124,rejected_by_BondFilter_min_interatomic_distance
large_file,125,rejected_by_BondFilter_min_interatomic_distance
large_file,126,rejected_by_BondFilter_min_interatomic_distance
large_file,127,rejected_by_BondFilter_min_interatomic_distance
large_file,128,rejected_by_BondFilter_min_interatomic_distance
large_file,129,rejected_by_BondFilter_min_interatomic_distance
large_file,130,rejected_by_BondFilter_min_interatomic_distance
large_file,131,rejected_by_BondFilter_min_interatomic_distance
large_file,132,rejected_by_BondFilter_min_interatomic_distance
large_file,133,rejected_by_BondFilter_min_interatomic_distance
large_file,134,rejected_by_BondFilter_min_interatomic_distance
large_file,135,rejected_by_BondFilter_min_interatomic_distance
large_file,136,rejected_by_BondFilter_min_interatomic_distance
large_file,137,rejected_by_BondFilter_min_interatomic_distance
large_file,138,rejected_by_BondFilter_min_interatomic_distance
large_file,139,rejected_by_BondFilter_min_interatomic_distance
large_file,140,rejected_by_BondFilter_min_interatomic_distance
large_file,141,rejected_by_BondFilter_min_interatomic_distance
large_file,142,rejected_by_BondFilter_min_interatomic_distance
large_file,143,rejected_by_BondFilter_min_interatomic_distance
large_file,144,rejected_by_BondFilter_min_interatomic_distance
large_file,145,rejected_by_BondFilter_min_interatomic_distance
large_file,146,rejected_by_BondFilter_min_interatomic_distance
large_file,147,rejected_by_BondFilter_min_interatomic_distance
large_file,148,rejected_by_BondFilter_min_interatomic_distance
large_file,149,rejected_by_BondFilter_min_interatomic_distance
large_file,150,rejected_by_BondFilter_min_interatomic_distance
large_file,151,rejected_by_BondFilter_min_interatomic_distance
large_file,152,rejected_by_BondFilter_min_interatomic_distance
large_file,153,rejected_by_BondFilter_min_interatomic_distance
large_file,154,rejected_by_BondFilter_min_interatomic_distance
large_file,155,rejected_by_BondFilter_min_interatomic_distance
large_file,156,rejected_by_BondFilter_min_interatomic_distance
large_file,157,rejected_by_BondFilter_min_interatomic_distance
large_file,158,rejected_by_BondFilter_min_interatomic_distance
large_file,159,rejected_by_BondFilter_min_interatomic_distance
large_file,160,rejected_by_BondFilter_min_interatomic_distance
large_file,161,rejected_by_BondFilter_min_interatomic_distance
large_file,162,rejected_by_BondFilter_min_interatomic_distance
large_file,163,rejected_by_BondFilter_min_interatomic_distance
large_file,164,rejected_by_BondFilter_min_interatomic_distance
large_file,165,rejected_by_BondFilter_min_interatomic_distance
large_file,166,rejected_by_BondFilter_min_interatomic_distance
large_file,167,rejected_by_BondFilter_min_interatomic_distance
large_file,168,rejected_by_BondFilter_min_interatomic_distance
large_file,169,rejected_by_BondFilter_min_interatomic_distance
large_file,170,rejected_by_BondFilter_min_interatomic_distance
large_file,171,rejected_by_BondFilter_min_interatomic_distance
large_file,172,rejected_by_BondFilter_min_interatomic_distance
large_file,173,rejected_by_BondFilter_min_interatomic_distance
large_file,174,rejected_by_BondFilter_min_interatomic_distance
large_file,175,rejected_by_BondFilter_min_interatomic_distance
large_file,176,rejected_by_BondFilter_min_interatomic_distance
large_file,177,rejected_by_BondFilter_min_interatomic_distance
