rank,source,source_idx,n_effective_envs_in_structure,pass,new_gain,covered,uncovered,coverage_pct
93,large_file,2447,87,rare,23,3026,9477,24.202191474046227
94,large_file,5295,85,rare,23,3049,9454,24.386147324642085
95,large_file,6146,84,rare,23,3072,9431,24.570103175237943
96,large_file,13058,94,rare,23,3095,9408,24.7540590258338
97,large_file,16894,88,rare,23,3118,9385,24.93801487642966
98,large_file,1165,89,rare,22,3140,9363,25.113972646564825
99,large_file,1723,94,rare,22,3162,9341,25.289930416699992
100,large_file,2087,89,rare,22,3184,9319,25.46588818683516
101,large_file,2388,87,rare,22,3206,9297,25.64184595697033
102,large_file,3184,87,rare,22,3228,9275,25.817803727105495
103,large_file,4992,82,rare,22,3250,9253,25.993761497240662
104,large_file,6121,91,rare,22,3272,9231,26.16971926737583
105,large_file,6871,88,rare,22,3294,9209,26.345677037511
106,large_file,13458,76,rare,22,3316,9187,26.521634807646166
107,large_file,15719,112,rare,22,3338,9165,26.697592577781332
108,large_file,17283,126,rare,22,3360,9143,26.8735503479165
109,large_file,18030,85,rare,22,3382,9121,27.04950811805167
110,large_file,18258,88,rare,22,3404,9099,27.225465888186836
111,large_file,18439,90,rare,22,3426,9077,27.401423658322003
112,large_file,18736,89,rare,22,3448,9055,27.57738142845717
113,large_file,19926,89,rare,22,3470,9033,27.75333919859234
114,large_file,5114,82,rare,21,3491,9012,27.921298888266815
115,large_file,5333,89,rare,21,3512,8991,28.089258577941294
116,large_file,7996,87,rare,21,3533,8970,28.257218267615773
117,large_file,9550,88,rare,21,3554,8949,28.425177957290252
118,large_file,9622,101,rare,21,3575,8928,28.593137646964728
119,large_file,10521,91,rare,21,3596,8907,28.761097336639207
120,large_file,11059,91,rare,21,3617,8886,28.929057026313686
121,large_file,11568,88,rare,21,3638,8865,29.09701671598816
122,large_file,11744,86,rare,21,3659,8844,29.26497640566264
123,large_file,15361,80,rare,21,3680,8823,29.43293609533712
124,large_file,16188,91,rare,21,3701,8802,29.6008957850116
125,large_file,1003,84,rare,20,3721,8782,29.760857394225386
126,large_file,1363,92,rare,20,3741,8762,29.920819003439174
127,large_file,1621,88,rare,20,3761,8742,30.080780612652962
128,large_file,3456,87,rare,20,3781,8722,30.240742221866753
129,large_file,8974,85,rare,20,3801,8702,30.40070383108054
130,large_file,9977,108,rare,20,3821,8682,30.56066544029433
131,large_file,10157,88,rare,20,3841,8662,30.720627049508117
132,large_file,11822,86,rare,20,3861,8642,30.88058865872191
133,large_file,11824,87,rare,20,3881,8622,31.040550267935696
134,large_file,11943,84,rare,20,3901,8602,31.200511877149484
135,large_file,14282,89,rare,20,3921,8582,31.360473486363272
136,large_file,14406,89,rare,20,3941,8562,31.52043509557706
137,large_file,15536,87,rare,20,3961,8542,31.68039670479085
138,large_file,1730,84,rare,19,3980,8523,31.832360233543948
139,large_file,2365,113,rare,19,3999,8504,31.98432376229705
140,large_file,2691,84,rare,19,4018,8485,32.136287291050145
141,large_file,3281,87,rare,19,4037,8466,32.288250819803245
142,large_file,6437,89,rare,19,4056,8447,32.440214348556346
143,large_file,8503,85,rare,19,4075,8428,32.592177877309446
144,large_file,11450,81,rare,19,4094,8409,32.744141406062546
145,large_file,13770,109,rare,19,4113,8390,32.89610493481565
146,large_file,15696,89,rare,19,4132,8371,33.04806846356875
147,large_file,17242,127,rare,19,4151,8352,33.20003199232184
148,large_file,18397,109,rare,19,4170,8333,33.35199552107494
149,large_file,18813,83,rare,19,4189,8314,33.50395904982804
150,large_file,1385,87,rare,18,4207,8296,33.64792449812045
151,large_file,1596,81,rare,18,4225,8278,33.79188994641286
152,large_file,1635,81,rare,18,4243,8260,33.93585539470527
153,large_file,3418,85,rare,18,4261,8242,34.079820842997684
154,large_file,3777,87,rare,18,4279,8224,34.22378629129009
155,large_file,6168,86,rare,18,4297,8206,34.3677517395825
156,large_file,8785,74,rare,18,4315,8188,34.51171718787491
157,large_file,16089,109,rare,18,4333,8170,34.65568263616732
158,large_file,16575,107,rare,18,4351,8152,34.79964808445973
159,large_file,17572,85,rare,18,4369,8134,34.94361353275214
160,large_file,1433,92,rare,17,4386,8117,35.079580900583856
161,large_file,2941,88,rare,17,4403,8100,35.21554826841558
162,large_file,3623,91,rare,17,4420,8083,35.3515156362473
163,large_file,3869,84,rare,17,4437,8066,35.487483004079024
164,large_file,3937,89,rare,17,4454,8049,35.62345037191074
165,large_file,8873,87,rare,17,4471,8032,35.75941773974246
166,large_file,8874,84,rare,17,4488,8015,35.895385107574185
167,large_file,9234,105,rare,17,4505,7998,36.0313524754059
168,large_file,9325,75,rare,17,4522,7981,36.16731984323762
169,large_file,9377,81,rare,17,4539,7964,36.303287211069346
170,large_file,9398,86,rare,17,4556,7947,36.439254578901064
171,large_file,11318,90,rare,17,4573,7930,36.57522194673278
172,large_file,14197,87,rare,17,4590,7913,36.71118931456451
173,large_file,14933,85,rare,17,4607,7896,36.847156682396225
174,large_file,15803,76,rare,17,4624,7879,36.98312405022794
175,large_file,18767,75,rare,17,4641,7862,37.11909141805967
176,large_file,1269,87,rare,16,4657,7846,37.2470607054307
177,large_file,2703,76,rare,16,4673,7830,37.37502999280173
