0.00000000 -0.00305880 -0.00245753 -0.00177286 3.56996936 3.56997971 3.64728833 3.64731319 3.74545895 3.74547028 3.78767159 3.78767826 4.03629139 4.03630478 4.17447648 4.17448303 4.27995696 4.27997983 4.33701376 4.51559604 4.51561956 4.55426915 4.55428900 4.68628627 4.68629803 4.69989875 4.69997855 4.82600965 4.82604192 4.91235389 4.91235965 5.18883753 5.18884963 5.37639452 5.37640904 5.37680435 5.37681477 5.48946815 5.48949384 5.49730356 5.54512605 5.54519890 5.72106558 5.72113295 5.72273385 5.81923005 5.81924540 5.81937010 5.81938530 5.97686354 5.97690821 5.99527961 5.99528980 6.19995590 6.21401135 6.21405751 6.28917292 6.36688049 6.36692459 6.37857661 6.37858248 6.39072921 6.50199863 6.51948551 6.51949639 6.64638093 6.64638338 6.75035329 6.75038217 6.78127110 6.78132074 6.98206674 6.98211453 7.13666306 7.13670537 7.22693667 7.22707008 7.29674207 7.29677879 7.62226357 7.62239413 8.06127565 8.77629286 8.77635083 8.95354795 8.95355485 8.99667440 8.99672389 9.04150408 9.04151808 9.44422599 9.44426903 9.62035245 9.62040327 9.83646604 9.83655766 11.10672021 15.46448529 15.46459516 15.59030087 15.59040886 15.64978522 15.88340612 15.92683281 15.92688287 15.95313319 15.95316334 15.98102073 15.98109769 16.20277862 16.20280559 16.30674481 16.30681648 17.32275749 17.32289968 17.48868963 17.48880544 17.52497056 17.52509729 17.60397134 17.66598503 17.84668712 17.84678889 17.86568081 17.86579670 17.97423094 17.97433981 18.06388777 18.06399946 18.16484673 18.77409441 18.77411979 18.77886490 18.77888934 18.81004471 18.81005150 19.73310896 21.49744726 21.49763180 21.51551089 21.51571702 21.58853452 21.58864184 21.68400158 21.68412011
0.00058367 0.02116037 0.02528016 0.04337777 3.56999757 3.57000792 3.64077818 3.65373641 3.74545500 3.74546634 3.77268155 3.80261259 4.03626028 4.03627367 4.17434682 4.17435338 4.27997135 4.27999422 4.33698633 4.51558060 4.51560412 4.55427558 4.55429543 4.68606096 4.68607135 4.70014175 4.70022006 4.82616254 4.82619481 4.91235273 4.91235851 5.18885082 5.18886292 5.37640583 5.37642030 5.37680333 5.37681376 5.48945310 5.48947879 5.49724160 5.54511122 5.54518407 5.72108504 5.72115239 5.72272623 5.81172541 5.81925813 5.81927224 5.82688469 5.97689567 5.97694036 5.99525878 5.99526899 6.19995185 6.21403787 6.21408404 6.28922951 6.35581344 6.37802575 6.37859601 6.37860263 6.39074728 6.50200006 6.51945407 6.51952428 6.64636600 6.64636845 6.75026377 6.75029263 6.78124623 6.78129588 6.98171567 6.98176353 7.13698405 7.13702638 7.22693409 7.22706749 7.29671079 7.29674752 7.62226265 7.62239320 8.06123646 8.77638446 8.77644244 8.95360450 8.95361145 8.97488347 9.01847783 9.04153078 9.04154479 9.44420206 9.44424510 9.62031844 9.62036927 9.83641152 9.83650313 11.10667862 15.46446357 15.46465641 15.59032469 15.59043268 15.64977792 15.88337736 15.92685206 15.92690211 15.95315440 15.95318455 15.98099547 15.98107242 16.20276329 16.20279027 16.30672151 16.30679318 17.32277201 17.32291420 17.48871051 17.48882631 17.52495960 17.52508634 17.60398906 17.66602294 17.84666280 17.84676458 17.86569423 17.86581012 17.97259106 17.97596655 18.06387621 18.06398789 18.16483843 18.77073095 18.77409650 18.77412187 18.78701313 18.81004226 18.81004906 19.73308090 21.49745906 21.49764359 21.51551495 21.51572108 21.58852934 21.58863667 21.68398989 21.68410842
0.00116733 0.04265071 0.05065259 0.08685778 3.57008218 3.57009254 3.63416668 3.66008714 3.74544319 3.74545453 3.75763256 3.81749446 4.03616697 4.03618036 4.17395831 4.17396489 4.28001452 4.28003739 4.33690405 4.51553430 4.51555780 4.55429486 4.55431472 4.68542725 4.68543438 4.70082770 4.70090231 4.82662074 4.82665300 4.91234925 4.91235507 5.18889069 5.18890279 5.37643973 5.37645404 5.37680026 5.37681075 5.48940795 5.48943364 5.49705573 5.54506673 5.54513957 5.72114339 5.72121069 5.72270339 5.80392937 5.81933680 5.81935093 5.83425223 5.97699210 5.97703683 5.99519633 5.99520658 6.19993973 6.21411742 6.21416362 6.28939929 6.34476252 6.37865391 6.37865968 6.38918268 6.39080148 6.50200434 6.51941421 6.51955351 6.64632121 6.64632366 6.74999525 6.75002410 6.78117157 6.78122129 6.98067124 6.98071928 7.13793829 7.13798068 7.22692634 7.22705971 7.29661701 7.29665377 7.62225989 7.62239042 8.06111890 8.77665920 8.77671717 8.95303430 8.95377414 8.95378136 9.04021548 9.04161120 9.04162508 9.44413028 9.44417331 9.62021644 9.62026727 9.83624797 9.83633957 11.10655382 15.46445194 15.46478661 15.59039615 15.59050413 15.64975599 15.88329108 15.92690978 15.92695985 15.95321803 15.95324820 15.98091968 15.98099664 16.20271731 16.20274431 16.30665161 16.30672330 17.32281557 17.32295775 17.48877314 17.48888892 17.52492674 17.52505349 17.60404221 17.66613667 17.84658984 17.84669163 17.86573449 17.86585037 17.97088482 17.97763338 18.06384152 18.06395319 18.16481355 18.76257518 18.77410271 18.77412809 18.79513846 18.81003492 18.81004178 19.73299671 21.49749445 21.49767897 21.51552713 21.51573325 21.58851382 21.58862117 21.68395482 21.68407337
0.00175100 0.06406649 0.07600247 0.13031039 3.57022319 3.57023354 3.62746419 3.66635495 3.74252805 3.74542355 3.74543490 3.83232044 4.03601148 4.03602487 4.17331233 4.17331896 4.28008645 4.28010932 4.33676694 4.51545714 4.51548061 4.55432698 4.55434686 4.68448056 4.68448488 4.70185927 4.70192937 4.82738280 4.82741503 4.91234343 4.91234932 5.18895716 5.18896925 5.37649620 5.37651013 5.37679517 5.37680581 5.48933268 5.48935836 5.49674601 5.54499258 5.54506540 5.72124060 5.72130781 5.72266537 5.79598601 5.81946799 5.81948213 5.84148125 5.97715286 5.97719766 5.99509229 5.99510260 6.19991952 6.21425003 6.21429629 6.28968223 6.33375290 6.37875054 6.37875632 6.39089173 6.40036722 6.50201148 6.51937052 6.51957948 6.64624657 6.64624902 6.74954792 6.74957674 6.78104705 6.78109688 6.97895859 6.97900691 7.13950064 7.13954312 7.22691343 7.22704675 7.29646090 7.29649772 7.62225525 7.62238574 8.06092298 8.77711687 8.77717486 8.93115570 8.95405670 8.95406411 9.04174427 9.04175840 9.06191027 9.44401065 9.44405369 9.62004646 9.62009729 9.83597542 9.83606700 11.10634580 15.46447575 15.46496039 15.59051523 15.59062321 15.64971945 15.88314730 15.92700596 15.92705604 15.95332405 15.95335426 15.98079339 15.98087035 16.20264067 16.20266771 16.30653515 16.30660684 17.32288815 17.32303032 17.48887751 17.48899325 17.52487196 17.52499873 17.60413078 17.66632621 17.84646828 17.84657007 17.86580157 17.86591745 17.96916495 17.97928758 18.06378371 18.06389536 18.16477208 18.75441026 18.77411308 18.77413845 18.80325248 18.81002273 18.81002979 19.73285641 21.49755343 21.49773793 21.51554743 21.51575352 21.58848794 21.58859534 21.68389638 21.68401495
0.00233466 0.08546286 0.10134448 0.17375090 3.57042054 3.57043090 3.62066867 3.67254183 3.72736812 3.74539613 3.74540749 3.84709044 4.03579387 4.03580726 4.17241117 4.17241786 4.28018713 4.28021000 4.33657505 4.51534916 4.51537258 4.55437191 4.55439182 4.68331768 4.68332280 4.70313752 4.70320331 4.82844631 4.82847851 4.91233525 4.91234124 5.18905024 5.18906232 5.37657516 5.37658810 5.37678820 5.37679923 5.48922725 5.48925292 5.49631257 5.54488878 5.54496159 5.72137664 5.72144367 5.72261222 5.78789303 5.81965179 5.81966595 5.84857379 5.97737803 5.97742295 5.99494671 5.99495711 6.19989122 6.21443574 6.21448208 6.29007830 6.32278772 6.37888576 6.37889155 6.39101795 6.41157717 6.50202147 6.51932302 6.51960214 6.64614210 6.64614455 6.74892210 6.74895088 6.78087253 6.78092251 6.97661634 6.97666502 7.14163253 7.14167511 7.22689536 7.22702861 7.29624275 7.29627965 7.62224868 7.62237913 8.06064869 8.77775716 8.77781516 8.90925110 8.95445208 8.95445984 9.04193106 9.04194527 9.08355716 9.44384322 9.44388625 9.61980852 9.61985935 9.83559390 9.83568547 11.10605453 15.46453887 15.46517381 15.59068190 15.59078988 15.64966829 15.88294606 15.92714058 15.92719068 15.95347246 15.95350271 15.98061663 15.98069360 16.20253340 16.20256049 16.30637214 16.30644384 17.32298973 17.32313188 17.48902360 17.48913930 17.52479530 17.52492208 17.60425475 17.66659154 17.84629814 17.84639995 17.86589545 17.86601133 17.96743159 17.98092904 18.06370280 18.06381441 18.16471405 18.74623670 18.77412759 18.77415296 18.81000455 18.81001015 18.81135878 19.73265998 21.49763597 21.49782044 21.51557585 21.51578191 21.58845173 21.58855920 21.68381459 21.68393319
0.00291833 0.10685046 0.12668081 0.21718070 3.57067421 3.57068456 3.61377809 3.67864975 3.71215287 3.74536101 3.74537240 3.86180439 4.03551421 4.03552759 4.17125800 4.17126475 4.28031654 4.28033941 4.33632844 4.51521037 4.51523374 4.55442963 4.55444957 4.68201445 4.68202239 4.70458712 4.70464917 4.82980797 4.82984012 4.91232468 4.91233080 5.18916995 5.18918203 5.37667620 5.37668529 5.37678009 5.37679315 5.48909161 5.48911726 5.49575554 5.54475535 5.54482812 5.72155142 5.72161816 5.72254407 5.77964809 5.81988833 5.81990252 5.85553187 5.97766773 5.97771279 5.99475971 5.99477020 6.19985484 6.21467460 6.21472103 6.29058749 6.31187012 6.37905953 6.37906532 6.39117999 6.42280930 6.50203431 6.51927167 6.51962154 6.64600781 6.64601026 6.74811822 6.74814694 6.78064783 6.78069801 6.97369250 6.97374161 7.14428601 7.14432869 7.22687213 7.22700529 7.29596299 7.29599999 7.62224012 7.62237050 8.06029607 8.77857961 8.77863762 8.88732449 8.95496000 8.95496821 9.04217111 9.04218543 9.10515347 9.44362800 9.44367103 9.61950265 9.61955348 9.83510349 9.83519502 11.10567994 15.46464256 15.46542556 15.59089612 15.59100410 15.64960251 15.88268743 15.92731359 15.92736371 15.95366321 15.95369352 15.98038946 15.98046642 16.20239551 16.20242267 16.30616264 16.30623435 17.32312028 17.32326240 17.48921138 17.48932702 17.52469674 17.52482356 17.60441410 17.66693263 17.84607949 17.84618132 17.86601610 17.86613199 17.96568468 17.98255783 18.06359879 18.06371036 18.16463946 18.73805500 18.77414624 18.77417160 18.80998333 18.80998984 18.81944695 19.73240746 21.49774207 21.49792650 21.51561238 21.51581840 21.58840520 21.58851275 21.68370947 21.68382811
0.00350199 0.12823257 0.15201159 0.26059883 3.57098412 3.57099448 3.60679037 3.68468063 3.69688241 3.74531832 3.74532973 3.87646220 4.03517257 4.03518595 4.16985679 4.16986363 4.28047465 4.28049751 4.33602719 4.51504083 4.51506413 4.55450009 4.55452008 4.68062271 4.68063344 4.70615710 4.70621604 4.83146357 4.83149568 4.91231169 4.91231796 5.18931632 5.18932839 5.37675482 5.37676724 5.37680497 5.37683218 5.48892570 5.48895134 5.49507513 5.54459228 5.54466502 5.72176485 5.72183097 5.72246120 5.77124877 5.82017777 5.82019200 5.86235743 5.97802209 5.97806733 5.99453138 5.99454198 6.19981038 6.21496668 6.21501322 6.29120972 6.30100323 6.37927179 6.37927757 6.39137768 6.43406031 6.50204998 6.51921639 6.51963775 6.64584372 6.64584618 6.74713683 6.74716549 6.78037271 6.78042312 6.97024020 6.97028976 7.14740801 7.14745077 7.22684375 7.22697681 7.29562213 7.29565925 7.62222947 7.62235976 8.05986512 8.77958364 8.77964166 8.86537987 8.95558015 8.95558888 9.04246437 9.04247883 9.12669600 9.44336505 9.44340808 9.61912891 9.61917974 9.83450425 9.83459576 11.10522198 15.46478747 15.46571486 15.59115785 15.59126583 15.64952210 15.88237146 15.92752492 15.92757508 15.95389626 15.95392664 15.98011192 15.98018889 16.20222701 16.20225425 16.30590670 16.30597843 17.32327974 17.32342183 17.48944082 17.48955637 17.52457631 17.52470316 17.60460880 17.66734946 17.84581239 17.84591424 17.86616348 17.86627937 17.96392417 17.98417407 18.06347172 18.06358324 18.16454836 18.72986566 18.77416903 18.77419438 18.80995645 18.80996310 18.82752492 19.73209883 21.49787168 21.49805607 21.51565701 21.51586298 21.58834836 21.58845601 21.68358104 21.68369972
0.00408566 0.14961040 0.17733635 0.30400369 3.57135022 3.57136057 3.59970347 3.68155675 3.69063651 3.74526818 3.74527962 3.89106379 4.03476907 4.03478245 4.16821234 4.16821928 4.28066142 4.28068428 4.33567139 4.51484059 4.51486381 4.55458325 4.55460329 4.67917580 4.67918894 4.70781419 4.70787057 4.83340811 4.83344016 4.91229622 4.91230267 5.18948939 5.18950145 5.37674801 5.37675800 5.37694880 5.37696907 5.48872944 5.48875507 5.49427157 5.54439961 5.54447231 5.72201682 5.72208065 5.72236506 5.76269266 5.82052034 5.82053461 5.86905234 5.97844127 5.97848675 5.99426187 5.99427260 6.19975782 6.21531205 6.21535874 6.29019017 6.29194497 6.37952244 6.37952822 6.39161079 6.44532692 6.50206850 6.51915710 6.51965082 6.64564986 6.64565232 6.74597861 6.74600719 6.78004687 6.78009756 6.96631390 6.96636393 7.15094414 7.15098696 7.22681024 7.22694316 7.29522081 7.29525807 7.62221661 7.62234681 8.05935587 8.78076856 8.78082657 8.84342133 8.95631216 8.95632145 9.04281075 9.04282537 9.14818163 9.44305442 9.44309745 9.61868735 9.61873818 9.83379630 9.83388776 11.10468057 15.46497411 15.46604111 15.59146704 15.59157501 15.64942707 15.88199823 15.92777453 15.92782472 15.95417157 15.95420203 15.97978410 15.97986107 16.20202794 16.20205527 16.30560441 16.30567615 17.32346807 17.32361011 17.48971186 17.48982733 17.52443401 17.52456091 17.60483880 17.66784199 17.84549693 17.84559880 17.86633755 17.86645344 17.96214999 17.98577788 18.06332159 18.06343305 18.16444076 18.72166919 18.77419595 18.77422129 18.80992467 18.80993139 18.83558999 19.73173412 21.49802479 21.49820912 21.51570974 21.51591565 21.58828123 21.58838900 21.68342933 21.68354807
0.00466932 0.17098436 0.20265441 0.34739342 3.57177240 3.57178275 3.59251533 3.66617618 3.69651910 3.74521075 3.74522221 3.90560909 4.03430384 4.03431721 4.16633013 4.16633718 4.28087681 4.28089967 4.33526116 4.51460970 4.51463283 4.55467905 4.55469914 4.67769537 4.67771054 4.70953662 4.70959089 4.83563580 4.83566778 4.91227823 4.91228487 5.18968919 5.18970125 5.37673234 5.37674223 5.37711747 5.37713636 5.48850273 5.48852834 5.49334515 5.54417736 5.54425002 5.72223910 5.72230745 5.72238347 5.75397726 5.82091626 5.82093058 5.87561840 5.97892547 5.97897125 5.99395136 5.99396220 6.19969719 6.21571081 6.21575767 6.27943410 6.29279312 6.37981140 6.37981718 6.39187907 6.45660579 6.50208984 6.51909372 6.51966081 6.64542628 6.64542874 6.74464434 6.74467284 6.77966998 6.77972098 6.96196651 6.96201702 7.15484157 7.15488442 7.22677159 7.22690437 7.29475979 7.29479721 7.62220142 7.62233151 8.05876834 8.78213350 8.78219144 8.82145312 8.95715556 8.95716547 9.04321016 9.04322495 9.16960732 9.44269617 9.44273920 9.61817803 9.61822886 9.83297973 9.83307116 11.10405561 15.46520290 15.46640374 15.59182360 15.59193157 15.64931741 15.88156786 15.92806232 15.92811255 15.95448907 15.95451963 15.97940609 15.97948306 16.20179832 16.20182576 16.30525583 16.30532760 17.32368519 17.32382719 17.49002446 17.49013982 17.52426988 17.52439684 17.60510406 17.66841017 17.84513320 17.84523511 17.86653825 17.86665413 17.96036206 17.98736937 18.06314845 18.06325985 18.16431670 18.71346609 18.77422700 18.77425234 18.80988801 18.80989480 18.84364161 19.73131335 21.49820134 21.49838562 21.51577056 21.51597640 21.58820383 21.58831174 21.68325438 21.68337319
0.00525299 0.19235453 0.22796500 0.39076605 3.57225058 3.57226093 3.58522389 3.65074070 3.70233042 3.74514621 3.74515770 3.92009801 4.03377701 4.03379038 4.16421632 4.16422349 4.28112078 4.28114363 4.33479663 4.51434823 4.51437127 4.55478742 4.55480758 4.67619582 4.67621269 4.71130980 4.71136232 4.83814015 4.83817206 4.91225764 4.91226449 5.18991578 5.18992783 5.37671340 5.37672330 5.37730862 5.37732708 5.48824546 5.48827105 5.49229620 5.54392556 5.54399817 5.72211776 5.72263596 5.72270560 5.74510007 5.82136583 5.82138020 5.88205733 5.97947490 5.97952104 5.99360005 5.99361099 6.19962846 6.21616306 6.21621012 6.26873816 6.29375414 6.38013856 6.38014433 6.39218222 6.46789354 6.50211400 6.51902617 6.51966778 6.64517300 6.64517547 6.74313496 6.74316335 6.77924164 6.77929298 6.95724748 6.95729847 7.15905092 7.15909376 7.22672782 7.22686043 7.29423992 7.29427753 7.62218374 7.62231371 8.05810257 8.78367742 8.78373489 8.79948006 8.95810984 8.95812039 9.04366248 9.04367747 9.19097010 9.44229038 9.44233341 9.61760104 9.61765187 9.83205469 9.83214607 11.10334698 15.46547422 15.46680222 15.59222745 15.59233543 15.64919311 15.88108046 15.92838821 15.92843849 15.95484870 15.95487937 15.97897799 15.97905496 16.20153818 16.20156575 16.30486109 16.30493287 17.32393104 17.32407299 17.49037855 17.49049378 17.52408393 17.52421095 17.60540453 17.66905394 17.84472133 17.84482327 17.86676551 17.86688139 17.95856033 17.98894869 18.06295233 18.06306365 18.16417622 18.70525687 18.77426217 18.77428750 18.80984650 18.80985334 18.85167929 19.73083652 21.49840130 21.49858550 21.51583946 21.51604522 21.58811619 21.58822427 21.68305624 21.68317513
