-1.94059194 0.00000000
-1.81175112 0.00000000
-1.68291031 0.00000000
-1.55406949 0.00000000
-1.42522867 0.00000000
-1.29638785 0.00000000
-1.16754704 0.00000000
-1.03870622 0.00000000
-0.90986540 0.00000000
-0.78102459 0.00000000
-0.65218377 0.00000000
-0.52334295 0.00000000
-0.39450213 0.00000000
-0.26566132 0.00000000
-0.13682050 0.00000000
-0.00797968 0.00000000
0.12086113 0.00000000
0.24970195 0.02791262
0.37854277 0.02890630
0.50738359 0.05577457
0.63622440 0.09045611
0.76506522 0.13054055
0.89390604 0.18323209
1.02274685 0.24210848
1.15158767 0.31122037
1.28042849 0.39140807
1.40926931 0.48132904
1.53811012 0.58279974
1.66695094 0.69625292
1.79579176 0.82575663
1.92463257 0.97331450
2.05347339 1.11953877
2.18231421 1.32820835
2.31115503 1.48877768
2.43999584 1.76402130
2.56883666 1.99421461
2.69767748 2.25940429
2.82651829 2.61859858
2.95535911 2.94076347
3.08419993 3.39547160
3.21304075 3.83039465
3.34188156 4.51231548
3.47072238 5.43018100
3.59956320 6.21269666
3.72840401 7.37752639
3.85724483 8.41216960
3.98608565 11.44119205
4.11492647 14.88316013
4.24376728 21.40846701
4.37260810 25.84118542
4.50144892 22.92200337
4.63028974 14.89941097
4.75913055 11.45266173
4.88797137 20.22171409
5.01681219 19.34205757
5.14565300 16.91436902
5.27449382 16.00145257
5.40333464 20.52556199
5.53217546 25.50481231
5.66101627 36.95035249
5.78985709 29.21750411
5.91869791 14.51964071
6.04753872 18.20763240
6.17637954 22.56665068
6.30522036 31.85450808
6.43406118 39.80062769
6.56290199 27.92807087
6.69174281 18.19388398
6.82058363 16.40993110
6.94942444 11.68336500
7.07826526 11.31696601
7.20710608 10.58912658
7.33594690 7.40659698
7.46478771 5.64294972
7.59362853 5.37401092
7.72246935 6.23540096
7.85131016 4.07600201
7.98015098 10.23003545
8.10899180 4.44246420
8.23783262 3.32277823
8.36667343 2.90246085
8.49551425 3.11839863
8.62435507 3.46502599
8.75319588 4.08390642
8.88203670 4.95332318
9.01087752 6.80244916
9.13971834 6.44791249
9.26855915 6.82587083
9.39739997 7.66203398
9.52624079 9.69203615
9.65508160 9.59198288
9.78392242 9.38278508
9.91276324 6.95862937
10.04160406 5.03478631
10.17044487 5.24859882
10.29928569 3.10957127
10.42812651 2.44188882
10.55696732 2.20593870
10.68580814 1.86339510
10.81464896 1.41951863
10.94348978 1.00466502
11.07233059 0.43015767
11.20117141 0.00000000
11.33001223 0.00000000
11.45885305 0.00000000
11.58769386 0.00000000
11.71653468 0.00000000
11.84537550 0.00000000
11.97421631 0.00000000
12.10305713 0.00000000
12.23189795 0.00000000
12.36073877 0.00000000
12.48957958 0.00000000
12.61842040 0.00000000
12.74726122 0.00000000
12.87610203 0.00000000
13.00494285 0.00000000
13.13378367 0.00000000
13.26262449 0.00000000
13.39146530 0.00000000
13.52030612 0.00000000
13.64914694 0.00000000
13.77798775 0.00000000
13.90682857 0.00000000
14.03566939 0.00000000
14.16451021 0.00000000
14.29335102 0.00000000
14.42219184 0.00000000
14.55103266 0.00000000
14.67987347 0.00000000
14.80871429 0.00000000
14.93755511 0.00000000
15.06639593 0.00000000
15.19523674 0.00000000
15.32407756 0.00000000
15.45291838 0.00000000
15.58175919 17.33066178
15.71060001 17.75854203
15.83944083 32.68997126
15.96828165 31.16009765
16.09712246 13.93108334
16.22596328 8.02312781
16.35480410 0.00000000
16.48364491 0.00000000
16.61248573 0.00000000
16.74132655 0.00000000
16.87016737 0.00000000
16.99900818 0.00000000
17.12784900 0.00000000
17.25668982 0.00000000
17.38553063 7.48564111
17.51437145 20.64835214
17.64321227 24.76930319
17.77205309 26.33874158
17.90089390 23.61508332
18.02973472 17.50998263
18.15857554 4.33799193
18.28741635 1.39641830
18.41625717 1.70471129
18.54509799 2.09112408
18.67393881 2.61760673
18.80277962 3.32260874
18.93162044 4.14436131
19.06046126 4.18107415
19.18930208 4.26947603
19.31814289 4.35640069
19.44698371 4.45372577
19.57582453 4.61348717
19.70466534 4.97344825
19.83350616 4.36632810
19.96234698 3.87945645
20.09118780 4.25704050
20.22002861 3.35561281
20.34886943 3.50185945
20.47771025 4.58265807
20.60655106 4.02032836
20.73539188 4.13495916
20.86423270 4.40268218
20.99307352 4.77356070
21.12191433 5.32754178
21.25075515 6.22200998
21.37959597 7.94232731
21.50843678 16.85940493
21.63727760 4.80162544
21.76611842 0.00000000
21.89495924 0.00000000
22.02380005 0.00000000
22.15264087 0.00000000
22.28148169 0.00000000
22.41032250 0.00000000
22.53916332 0.00000000
22.66800414 0.00000000
22.79684496 0.00000000
22.92568577 0.00000000
23.05452659 0.00000000
23.18336741 0.00000000
23.31220822 0.00000000
23.44104904 0.00000000
23.56988986 0.00000000
23.69873068 0.00000000
23.82757149 0.00000000
