index,name,n_atoms,DFT_energy_pa,M3G_energy_pa,energy_residual,energy_MAE,force_MAE,force_RMSE,force_max_err,stress_MAE,stress_RMSE,stress_normal_MAE,stress_normal_RMSE,stress_res_xx,stress_res_yy,stress_res_zz,stress_res_yz,stress_res_xz,stress_res_xy
0,structure_1.xyz,49,-8.508955066734694,-8.490038813376913,0.018916253357781798,0.018916253357781798,0.1386339171079265,0.17875385000086053,0.5057434579357505,0.0056522655771307955,0.008238389550021295,0.010145336001490554,0.011547919928103155,-0.00321926805190742,-0.016716762678697705,-0.010499977273866534,-7.481326974811964e-05,-0.002528424171032384,-0.0008743480175326113
1,structure_10.xyz,54,-8.459779922777777,-8.460751568829572,-0.0009716460517950054,0.0009716460517950054,0.17184783354470576,0.21771968508341008,0.6549705266952515,0.006338756570282082,0.00652808882161375,0.0063705517289539175,0.006442685810712767,-0.007186548784375191,-0.005020736716687679,-0.0069043696857988834,0.004470168147236109,-0.009066154016181827,-0.005384562071412802
2,structure_100.xyz,55,-8.585387498363637,-8.579036088423296,0.006351409940341668,0.006351409940341668,0.13304434096737003,0.16624433173888606,0.45021817088127136,0.0032155357378845415,0.004351643200615545,0.003695437607044975,0.0054306165815652075,0.0010821400210261345,-0.0006857207044959068,-0.009318452095612884,-0.001771409995853901,0.0024114169646054506,-0.004024074645712972
3,structure_1000.xyz,55,-8.494030344727273,-8.493269486860795,0.0007608578664779486,0.0007608578664779486,0.17277500220031167,0.21695760553221258,0.7163189053535461,0.007131987940131997,0.007523087820585047,0.00809271540492773,0.00824793037378265,-0.00891554169356823,-0.00586562417447567,-0.009496980346739292,0.004038630984723568,-0.009922766592353582,-0.00455238384893164
4,structure_1001.xyz,59,-8.347323096440679,-8.38584615416446,-0.03852305772378095,0.03852305772378095,0.17816514852075274,0.2293779235089276,0.7464401125907898,0.0069121636139849825,0.009064820300888163,0.010579624678939581,0.012168003014849183,-0.0020921174436807632,-0.014411766547709703,-0.015234990045428276,0.0023881192319095135,0.006515530403703451,-0.0008304580114781857
5,structure_1002.xyz,59,-8.352533926271187,-8.39252226231462,-0.039988336043432327,0.039988336043432327,0.1726958534317249,0.22050807899330788,0.6434266269207001,0.007754644068578879,0.009296477380323699,0.011448547011241317,0.012326602932803448,-0.005990043748170137,-0.017172364285215735,-0.011183233000338078,0.006633794168010354,-0.0014874022454023361,-0.004061026964336634
6,structure_1003.xyz,59,-8.342415582711865,-8.379373841366526,-0.036958258654660625,0.036958258654660625,0.16288668958215033,0.21160768395572313,0.8483932018280029,0.007227065584932764,0.009125923168300694,0.009218691382557154,0.011465254650454629,-0.000395309180021286,-0.0102669564075768,-0.016993808560073376,-0.007508756592869759,0.00686981063336134,-0.001327752135694027
7,structure_1004.xyz,59,-8.339184870169492,-8.380788512149099,-0.04160364197960753,0.04160364197960753,0.17886149816446553,0.22428182851145073,0.7916332483291626,0.006390370816613237,0.007853304527065973,0.008222274482250214,0.00969550721742326,-0.0030443118885159492,-0.006396833807229996,-0.015225677751004696,-0.008593817707151175,0.003338545560836792,0.001743038184940815
8,structure_1005.xyz,59,-8.343165605254237,-8.387732554290254,-0.044566949036017434,0.044566949036017434,0.18271770942324805,0.22988505887730637,0.7701489925384521,0.006440631501997511,0.00755421578421801,0.00819072825834155,0.008872620329012969,-0.004160819109529257,-0.007909399457275867,-0.012501966208219528,-0.008973527699708939,0.005069701932370663,-2.8374604880809784e-05
9,structure_1006.xyz,55,-8.490387552727272,-8.485708895596591,0.004678657130680719,0.004678657130680719,0.17938600038601593,0.2405868960275784,1.083329677581787,0.007302119605204401,0.008530975850680805,0.007226695617039998,0.007860321499167981,-0.005745467264205217,-0.0044044796377420425,-0.011530139949172735,0.006020585453370586,-0.014585374854505062,-0.0015266704722307622
10,structure_1007.xyz,59,-8.361197625254237,-8.402221162440414,-0.04102353718617735,0.04102353718617735,0.16291324775744925,0.20081900273870942,0.6090627908706665,0.005756451825921734,0.007740835720137074,0.008181214953462282,0.010123723156493115,-0.0004215966910123825,-0.009201394394040108,-0.014920653775334358,0.0003370717167854309,0.006457166280597448,-0.0032008280977606773
11,structure_1008.xyz,59,-8.355640153728814,-8.389047913632151,-0.03340775990333711,0.03340775990333711,0.18976467460430738,0.24971157158781934,1.0127577781677246,0.010581729642581195,0.012293501987881572,0.014356529961029688,0.015917886390664972,-0.0046420947182923555,-0.018858722411096096,-0.019568772753700614,-0.007907737861387432,0.004550169920548797,0.007962880190461874
12,structure_1009.xyz,59,-8.500682982372881,-8.519078141551907,-0.018395159179025455,0.018395159179025455,0.08746778118341361,0.13681728792794765,0.44067513989284635,0.010594372192225402,0.015272739472961112,0.021037444472312927,0.021598119139956344,-0.014814331196248531,-0.021539084147661924,-0.026758918073028326,1.0219862360827392e-06,-0.0002087650291286991,0.0002441127210488503
