index,name,n_atoms,DFT_energy_pa,LASP_energy_pa,energy_residual,energy_MAE,force_MAE,force_RMSE,force_max_err,stress_MAE,stress_RMSE,stress_normal_MAE,stress_normal_RMSE,stress_res_xx,stress_res_yy,stress_res_zz,stress_res_yz,stress_res_xz,stress_res_xy
0,defect-test##000000,49,-8.508955066734694,-8.327314726530613,0.1816403402040816,0.1816403402040816,0.06357402027573031,0.08698392697750247,0.36303820251487195,0.0014545676410004187,0.0019629346524721036,0.0022188251556751006,0.0026415303058714337,-0.0028586515691131353,-0.0035646587930386886,-0.0002331651048734784,-0.0013921288336860016,0.0002466129226377234,-0.00043218862265348434
1,defect-test##000001,54,-8.494573442777778,-8.338564837037037,0.15600860574074105,0.15600860574074105,0.07294702603241693,0.09540458611854274,0.23870905861258507,0.010970954084768891,0.013092685518991542,0.01166242640465498,0.013400292635782062,-0.0025121811777353287,-0.014644363895058632,-0.01783073414117098,0.011312420014292002,0.0005108972545713186,0.01901512802578509
2,defect-test##000002,54,-8.488710963148149,-8.333329377777778,0.15538158537037106,0.15538158537037106,0.08855880107903094,0.11375099746889471,0.3685876131057739,0.005297916029424717,0.007445729611470248,0.005766850430518389,0.008343742253242926,-0.0029549207538366318,-0.014145045541226864,-0.0002005849964916706,0.010770299471914768,0.0011975825764238834,0.0025190628366544843
3,defect-test##000003,54,-8.479259728333334,-8.32637023888889,0.15288948944444414,0.15288948944444414,0.11098260730562479,0.13766356353126527,0.4068009853363037,0.014019844684905062,0.016386297214065416,0.015669030098554988,0.017647688514385064,-0.004741314798593521,-0.018079629284329712,0.024186146212741733,0.01305640209466219,-0.0016129740979522467,-0.02244260162115097
4,defect-test##000004,53,-8.501151315471699,-8.339721679245283,0.1614296362264156,0.1614296362264156,0.08513836326489793,0.10802480466105006,0.3550671339035034,0.0029761130135739222,0.004168995694753935,0.0016900324650729697,0.0022634141470742946,-0.0009632525034248829,0.00032019021455198526,-0.0037866546772420406,-0.0008354680321644992,0.003077154513448477,0.008873958140611649
5,defect-test##000005,54,-8.469470501111111,-8.31284417037037,0.15662633074074073,0.15662633074074073,0.08653600440636554,0.10744070219209273,0.3329293727874756,0.01420042155465732,0.018140635866331373,0.014554035617038608,0.018062568495434934,-0.0019932789728045464,-0.013532004319131374,-0.028136823559179902,0.011948246043175459,0.0003891829401254654,0.029202993493527174
6,defect-test##000006,49,-8.371652932244897,-8.198201081632654,0.17345185061224377,0.17345185061224377,0.10257165870774969,0.1265716366276012,0.3706808481365442,0.016370768134947866,0.02110541627515027,0.016781042485187452,0.022121892583157696,-0.003023006021976471,-0.036686934530735016,-0.010633186902850866,0.03094617952592671,-0.0012763738632202148,0.01565892796497792
7,defect-test##000007,54,-8.445176009074075,-8.29105348888889,0.1541225201851848,0.1541225201851848,0.09807313467163224,0.12391296326548593,0.37154054641723633,0.006391711501540461,0.007741013663890165,0.007286860219513376,0.00833930983942727,-0.0017130915075540543,0.008903931826353073,-0.011243557324633002,-0.004733874506200664,0.00042821234092116356,0.011327601503580809
8,defect-test##000008,54,-8.483730506111112,-8.325784753703703,0.15794575240740905,0.15794575240740905,0.08235615756604131,0.1014255213131727,0.232859767973423,0.013928036474680994,0.018963379632890517,0.013960519650330147,0.01915312146273846,-8.684396743774414e-05,-0.010240914765745401,-0.03155380021780729,0.010114476550370455,0.0006793315842514858,0.030892851762473583
9,defect-test##000009,54,-8.459779922777777,-8.304131966666667,0.15564795611111037,0.15564795611111037,0.08340784412360301,0.10705645791563101,0.4535846710205078,0.015681376370290916,0.018543305323274268,0.016128391803552706,0.01869857813537564,-0.003868820145726204,-0.026899823918938637,-0.01761653134599328,0.025334083009511232,-0.0011029052548110485,0.01926609454676509
10,defect-test##000010,54,-8.458858302777777,-8.302300912962963,0.15655738981481448,0.15655738981481448,0.08324181065351392,0.10904024139234182,0.3057142496109009,0.01224918107376046,0.013884091324714437,0.013063476188108325,0.014371161503370202,-0.005533270537853241,-0.02018801518715918,-0.013469142839312553,0.018129518102796283,-0.0018618128015077673,0.014313326973933727
11,defect-test##000011,54,-8.475316423148147,-8.31730538888889,0.1580110342592569,0.1580110342592569,0.0818286830527754,0.10490654409644694,0.37268829345703125,0.017048554482850403,0.019848805827193505,0.017783311700137954,0.020374128741145452,-0.003722202032804489,-0.024861997575499117,-0.024765735492110252,0.022761577085475437,-0.0017374968156218529,0.02444231789559126
12,defect-test##000012,54,-8.46696179462963,-8.310133757407407,0.1568280372222226,0.1568280372222226,0.08141379986234286,0.104411805620317,0.30550622940063477,0.015066769032273442,0.017775806264919806,0.015929447021335363,0.018459348769256326,-0.002766737714409828,-0.02176399203017354,-0.023257611319422722,0.02013078995514661,-0.000856238417327404,0.021625244757160544
13,defect-test##000013,53,-8.508907715471699,-8.347213456603773,0.1616942588679251,0.1616942588679251,0.08377916172714962,0.10235750587854815,0.3221645802259445,0.009099529745678106,0.011143071225355072,0.00781890171735237,0.00974372501375323,0.0007567652501165867,-0.0077027654042467475,-0.014997174497693777,0.00811010506004095,0.0034773065708577633,0.019553061691112816
14,defect-test##000014,54,-8.462659123888889,-8.307651096296295,0.15500802759259358,0.15500802759259358,0.09174847413848994,0.11720190446441067,0.4045693874359131,0.012931351962227685,0.015479996422486451,0.014104782196227461,0.01647329356148746,-0.002129118889570236,-0.019056082994211465,-0.021129144704900682,0.016434252698672935,3.558723255991936e-05,0.01880392525345087
15,defect-test##000015,54,-8.45432826148148,-8.301240144444444,0.1530881170370364,0.1530881170370364,0.10001679599776657,0.12942113797749183,0.5665733814239502,0.006509848322214869,0.008841105094717925,0.008700625970959663,0.010405685068703414,-0.004770345985889435,-0.004559968831017613,-0.016771563095971942,0.0009876708209048957,-3.7364661693573e-06,0.011965804733335972
16,defect-test##000016,54,-8.459945918518518,-8.303593388888888,0.1563525296296291,0.1563525296296291,0.08231814062822161,0.10359600807630097,0.3437598943710327,0.008738584428404769,0.009888788149732543,0.011116328998468816,0.01198649764444818,-0.004873361438512802,-0.01327653753105551,-0.015199088025838137,0.008101974963210523,-0.0016320194117724895,0.009348525200039148
17,defect-test##000017,49,-8.418339325306123,-8.243357132653061,0.17498219265306147,0.17498219265306147,0.08661707932704452,0.11181437177536999,0.42160189151763916,0.006952800361129145,0.00828576221001837,0.0060988938009055955,0.006755604119620485,-0.003824136219918728,0.010199654207099229,0.004272890975698829,-0.013218750013038516,0.0001895125606097281,-0.01001185819040984
18,defect-test##000018,53,-8.512951412264151,-8.350219150943397,0.16273226132075358,0.16273226132075358,0.0762381951241174,0.09641073532113927,0.25365176796913147,0.012205130119885629,0.014537221608965438,0.011212832119781524,0.013388214503569227,0.0017994861118495464,-0.012202421203255653,-0.019636589044239372,0.012810660526156425,0.003204760199878365,0.02357686363393441
19,defect-test##000019,54,-8.473213254074075,-8.316147981481482,0.15706527259259317,0.15706527259259317,0.10083237655581562,0.12595408184030873,0.3877711296081543,0.007437610506409935,0.010108287291998088,0.006837961424025707,0.008873037345605052,-0.0024652285501360893,0.014822518816799857,0.003226136905141175,-0.01895630545914173,0.0011214592959731817,-0.004034014011267573
20,defect-test##000020,54,-8.477151629444444,-8.321725916666667,0.1554257127777774,0.1554257127777774,0.1056396531438409,0.13329618678029453,0.5239131450653076,0.0076624423381872475,0.009472480775041179,0.007658588505970935,0.00917311271023988,-0.001283198595046997,0.013630853616632521,0.008061713306233287,-0.015039179706946015,0.00023325905203819275,-0.007726449752226472
21,defect-test##000021,49,-8.344860065918368,-8.174714379591837,0.17014568632653138,0.17014568632653138,0.2356915955248029,0.3195983292922992,1.2280000448226929,0.004249856322227667,0.005146816086063014,0.005914070003200322,0.006773812361929458,0.0047554620541632175,0.0025747408508323133,-0.010412007104605436,-0.0028185132541693747,-0.0017120064003393054,0.0032264082692563534
22,defect-test##000022,54,-8.455164468888889,-8.306056835185185,0.1491076337037036,0.1491076337037036,0.0823080555498485,0.10378736648471272,0.3208584785461426,0.0078753661752368,0.00864050192380352,0.008317297169317802,0.008481756451814041,-0.007669202052056789,0.0066845309920609,0.010598158463835716,-0.011895793955773115,-0.0009307092987000942,-0.009473802288994193
23,defect-test##000023,53,-8.518651999433962,-8.354626926415094,0.16402507301886793,0.16402507301886793,0.0732828046710658,0.09582517127195665,0.35197755694389343,0.012481336198713203,0.015073224523717134,0.011194871854968369,0.01370586796492942,0.0010678339749574661,-0.012150980532169342,-0.0203658010577783,0.013184286653995514,0.0033242790268559474,0.024794835946522653
24,defect-test##000024,54,-8.446040186111112,-8.291676838888888,0.15436334722222433,0.15436334722222433,0.09014010895331057,0.11559768070195094,0.364743709564209,0.019171224537179416,0.022515525119451936,0.021371289272792637,0.024125934274758815,-0.00555809959769249,-0.028606822714209557,-0.029948945506475866,0.023990315850824118,9.095179848372936e-05,0.026832211755390745
25,defect-test##000025,54,-8.446524850555555,-8.291263155555557,0.1552616949999983,0.1552616949999983,0.1003057352370686,0.1288195915626189,0.3569906949996948,0.020879697847703937,0.024761975822985383,0.022877827325525384,0.02615335496065563,-0.005063497461378574,-0.03008448425680399,-0.033485500258393586,0.024221944622695446,0.0001705190952634439,0.032252241391688585
26,defect-test##000026,53,-8.517784529433962,-8.356286966037736,0.16149756339622634,0.16149756339622634,0.07050034669176646,0.09233980418169117,0.30180153250694275,0.010573934065178037,0.012710444904124051,0.009267450775951147,0.01112440502606646,0.0005661384202539921,-0.013493658509105444,-0.013742555398494005,0.014044958632439375,0.001643517054617405,0.019952776376158
27,defect-test##000027,54,-8.483499431481482,-8.328148735185184,0.15535069629629739,0.15535069629629739,0.0889879486374097,0.11502518836768091,0.3882426917552948,0.012534375903972736,0.02009424768668182,0.01347620851205041,0.02170222107818787,-0.0010627377778291702,-0.0018364704446867108,0.03752941731363535,-0.0016443755012005568,-0.0014321748167276382,-0.031701079569756985
28,defect-test##000028,54,-8.47092853851852,-8.31554441111111,0.1553841274074088,0.1553841274074088,0.08880857598714899,0.10869473379212796,0.3128706216812134,0.010253167614185562,0.011927954276491728,0.01071556102639685,0.011951670875309925,-0.0034905109787359834,-0.01602448569610715,-0.01263168640434742,0.01456069527193904,0.00021473411470651627,0.014596893219277263
29,defect-test##000029,54,-8.459436068518519,-8.304038153703702,0.15539791481481657,0.15539791481481657,0.08750749595555259,0.11312696992085863,0.41516566276550293,0.006751188222551718,0.009351183264365424,0.006337705301120877,0.007873137250175697,-0.004004348069429398,0.012856603600084782,0.0021521642338484526,-0.018105497118085623,8.819886716082692e-05,-0.0033003174467012286
30,defect-test##000030,54,-8.456312939074074,-8.301900227777779,0.1544127112962954,0.1544127112962954,0.09722299870523268,0.12277022924701299,0.39577674865722656,0.011820720314669112,0.015729711448961004,0.011291016824543476,0.013812093980792124,-0.003911765292286873,0.022335253655910492,0.0076260315254330635,-0.029220452532172203,-0.00019214441999793053,-0.007638674462214112
31,defect-test##000031,54,-8.457644252407407,-8.29814487037037,0.15949938203703695,0.15949938203703695,0.08235469136550055,0.10604108773327821,0.2766355872154236,0.0043195248969520135,0.005539125866978647,0.004859510576352477,0.006256004847436831,-0.002930484712123871,-0.010350973345339298,0.0012970736715942621,0.007646325509995222,0.0010107127018272877,-0.002681579440832138
32,defect-test##000032,49,-8.406239005714285,-8.23069358367347,0.17554542204081613,0.17554542204081613,0.0868999103534029,0.11527299709896964,0.44335341453552246,0.009728992333900047,0.011757413818948032,0.008440857054665685,0.01015154849632535,-0.0025640595704317093,0.016048971214331686,0.006709540379233658,-0.018480799568351358,-0.0012616728508874075,-0.013308910420164466
33,defect-test##000033,55,-8.462842473090909,-8.31231634,0.15052613309090823,0.15052613309090823,0.0948466432958164,0.12069933343299549,0.3067435771226883,0.002273816983991613,0.0028671156654557655,0.0028473101071237275,0.003458496087479846,-0.001258891075849533,-0.005613504472421482,-0.0016695347731001675,0.0034066864172928035,0.0012930766679346561,0.0004012084973510355
34,defect-test##000034,54,-8.459854068148148,-8.30435124074074,0.15550282740740862,0.15550282740740862,0.08111698342017243,0.10497508475107914,0.3059811592102051,0.007211591097681473,0.009859321000064479,0.00835360800071309,0.01033387529454387,-0.0027178972959518433,-0.005542219034396112,-0.016800707671791315,0.00040257303044199944,0.0016857767477631569,0.01612037280574441
35,defect-test##000035,49,-8.333158152244899,-8.164231281632652,0.1689268706122462,0.1689268706122462,0.22243252273040767,0.30232070753953433,1.1191492080688477,0.0045545986261762055,0.005075040079559773,0.005725281613801296,0.00598126194961266,-0.0046661486849188805,-0.004343396925833076,-0.00816629923065193,0.0034371005604043603,-0.0008222877513617277,0.00589235860388726
36,defect-test##000036,55,-8.607745934,-8.452059103636364,0.15568683036363673,0.15568683036363673,0.035648316573767234,0.047551161555245455,0.17276881933503319,0.004328684599992509,0.0056444472229302605,0.005514248720525454,0.006300674403661547,-0.0013043764047324657,-0.006816022505518049,-0.008422347251325846,3.997795283794403e-05,0.0009542804327793419,0.008435103052761406
37,defect-test##000037,55,-8.607707908545455,-8.45203025090909,0.15567765763636565,0.15567765763636565,0.035754969910384245,0.04779507410895376,0.17306220764294267,0.005090541858711124,0.006451047112477343,0.006623821585283925,0.007411435423733034,-0.002032405696809292,-0.008041623455937952,-0.009797435603104532,0.0006000596913509071,0.0009231989533873275,0.009148527751676738
38,defect-test##000038,55,-8.607646189818182,-8.451983641818183,0.15566254799999868,0.15566254799999868,0.03588214227105103,0.048053699710441905,0.17342553474009037,0.00555260228793486,0.0069455140654743,0.007094356852273147,0.007958677364089221,-0.002117379568517208,-0.008614216465502977,-0.010551474522799253,0.0012318875233177096,0.000952028734900523,0.00984862691257149
39,defect-test##000039,53,-8.515164384150944,-8.352528698113208,0.1626356860377367,0.1626356860377367,0.08695054794925283,0.10891269113318952,0.3202686756849289,0.01488683534504768,0.017821743085595688,0.015623502525462149,0.018648290736275018,-0.0012591741979122162,0.02194141666404903,0.0236699167144252,-0.02311960596125573,0.0012674459721893072,-0.018063452560454607
40,defect-test##000040,55,-8.607543195636364,-8.45189652909091,0.15564666654545434,0.15564666654545434,0.03579207697078924,0.04815641417376254,0.17211770452558994,0.0059150724209757755,0.007340454060900251,0.007470906459881614,0.008430013208170743,-0.002067956142127514,-0.009181364497635514,-0.011163398739881814,0.001819964818423614,0.0009696110755612608,0.010288139252224937
41,defect-test##000041,55,-8.607388783454546,-8.45176558,0.15562320345454594,0.15562320345454594,0.03599551641558664,0.04834372650875273,0.17302359035238624,0.006272103307613482,0.007722766473616411,0.007861971583527824,0.008886532240631337,-0.0021168868988752365,-0.009741896879859269,-0.011727130971848965,0.002368492176174186,0.0009844549495028332,0.010693757969420403
42,defect-test##000042,55,-8.607160301818181,-8.451573041818182,0.155587259999999,0.155587259999999,0.0362884263278278,0.04846745474725792,0.17113029025495052,0.006628373436493955,0.008102199706199026,0.008204073567564288,0.009305667725636542,-0.0020865099504590034,-0.010333067970350385,-0.012192642781883478,0.003044498633244075,0.000984787940979004,0.01112873334204778
43,defect-test##000043,55,-8.606841456363636,-8.451290061818183,0.1555513945454532,0.1555513945454532,0.03653673113056522,0.048696323421802086,0.17006599251180887,0.006928904137263696,0.008440106527127752,0.008444917058416953,0.009648731518633862,-0.00192330963909626,-0.01082619180670008,-0.012585249729454517,0.0037255529896356165,0.0009674446191638708,0.011545676039531827
44,defect-test##000044,55,-8.60647738090909,-8.45096934909091,0.15550803181818118,0.15550803181818118,0.03713643643281874,0.04932034082664368,0.16896343231201172,0.007346061136066358,0.008900243865241464,0.008875320219279578,0.010170794133666469,-0.0019098934717476368,-0.011568895366508514,-0.013147171819582582,0.004498574291574187,0.0009605401428416371,0.011991291724143593
45,defect-test##000045,55,-8.606053286727272,-8.450589267272727,0.1554640194545449,0.1554640194545449,0.03758279361309454,0.049776210411957005,0.1661255769431591,0.007750269052242705,0.009370014563139172,0.009280692436732352,0.01069302586329031,-0.0018183821812272072,-0.012270383303985,-0.013753311824984848,0.005237672638031654,0.0009553177515044808,0.01246654661372304
46,defect-test##000046,55,-8.605496762,-8.450077681818183,0.15541908018181694,0.15541908018181694,0.03813587105762439,0.050328522290758494,0.165711535140872,0.00811942177824676,0.009789760433354625,0.009674475072339797,0.011174717169107238,-0.0018081669695675373,-0.012894080631667748,-0.014321177615784109,0.005892933695577085,0.0009644095553085208,0.012835762201575562
47,defect-test##000047,55,-8.596582765454546,-8.441548850909092,0.155033914545454,0.155033914545454,0.04529895088070947,0.05745627342434897,0.1626867800951004,0.010155528330869856,0.012249496940344912,0.011577286253062388,0.013821131225640038,-0.0009031272493302822,-0.01709301129449159,-0.01673572021536529,0.0106994773959741,0.0009465872608416248,0.014555246569216251
48,defect-test##000048,55,-8.587779718181817,-8.43294122909091,0.15483848909090803,0.15483848909090803,0.04773660963112365,0.060783058158556065,0.1508108787238598,0.010844388152084624,0.0131747692383245,0.012186697917059064,0.014776871428863475,-0.0003796149976551533,-0.018543096259236336,-0.017637382494285703,0.012238222174346447,0.0009131591068580747,0.01535485388012603
49,defect-test##000049,55,-8.577124047454545,-8.422574685454546,0.15454936199999914,0.15454936199999914,0.05414055393387874,0.06842699127439494,0.19353515654802322,0.011240358047264939,0.013808452347806062,0.012492705311160535,0.015288500859530825,0.00015990115934982896,-0.01709951926022768,-0.020218695513904095,0.01086634281091392,0.0011112182401120663,0.01798647129908204
50,defect-test##000050,53,-8.513236426981132,-8.351811247169811,0.16142517981132087,0.16142517981132087,0.08918126305029288,0.1136758289082464,0.3901960253715515,0.017784578492864966,0.02123975483748264,0.018128736410290003,0.021886764419715883,-0.0008181482553482056,0.02587479306384921,0.027693267911672592,-0.027556465473026037,0.002291179494932294,-0.02247361675836146
51,defect-test##000051,55,-8.56668704109091,-8.412547163636363,0.15413987745454705,0.15413987745454705,0.06101015007148045,0.0775931170162015,0.2527707666158676,0.009449204788931334,0.012032783862787678,0.010712783162792524,0.013350917914384305,0.0003421835135668516,-0.012081942753866315,-0.019714223220944405,0.00579713168554008,0.0014926848816685379,0.01726706267800182
52,defect-test##000052,55,-8.56013,-8.406202281818182,0.1539277181818175,0.1539277181818175,0.06372920111118054,0.08098407576637827,0.2610538601875305,0.007792406637842457,0.010437966122116027,0.00896856002509594,0.011505293424832103,0.0003532485570758581,-0.008560564368963242,-0.01799186714924872,0.002629169262945652,0.0014886362478137016,0.015730954241007566
53,defect-test##000053,55,-8.548482987636364,-8.394709361818181,0.15377362581818232,0.15377362581818232,0.06624423110571859,0.08571805633811651,0.28523552417755127,0.006057441108472024,0.008841701062523263,0.005611801985651255,0.009151611852671288,-0.0002835136838257313,-0.000719721894711256,-0.015832170378416777,-0.0037931662518531084,0.0015369431930594146,0.01417913124896586
54,defect-test##000054,49,-8.365435939591837,-8.192138048979592,0.1732978906122451,0.1732978906122451,0.10165691882733027,0.13044364880528675,0.46539658308029175,0.012095368651595587,0.01834436992047354,0.013249794486910105,0.019815506717126178,-0.005418073385953903,-0.03388821426779032,0.0004430958069860935,0.028752658516168594,-0.000283797737210989,0.0037863721954636276
55,defect-test##000055,53,-8.510068129999999,-8.3507915,0.15927662999999903,0.15927662999999903,0.09078282326659036,0.11885612966472922,0.4384997487068176,0.017927053035236895,0.021344074422782473,0.01785552812119325,0.021625269568087177,-0.0006455555558204651,0.025406364351511,0.027514664456248283,-0.02821155311539769,0.0028383221942931414,-0.022945858538150787
56,defect-test##000056,55,-8.460362572727274,-8.306711647272726,0.1536509254545475,0.1536509254545475,0.09788520336010013,0.12184040155844528,0.34965890645980835,0.01251483743544668,0.01679982301189932,0.012954093748703599,0.017261018473792564,-0.0030730031430721283,-0.006850438890978694,-0.028938839212059975,0.007755680475383997,0.0013102702796459198,0.027160792611539364
57,defect-test##000057,55,-8.468922486,-8.31554398909091,0.1533784969090899,0.1533784969090899,0.09139105289130274,0.11593738783038546,0.3532470464706421,0.0080372237910827,0.011533376975994668,0.008725838735699654,0.011623149549610742,-0.0034594740718603134,-0.00313496682792902,-0.019583075307309628,0.0017007747665047646,0.0006078332662582397,0.019737218506634235
58,defect-test##000058,55,-8.464852463636364,-8.312120472727273,0.15273199090909095,0.15273199090909095,0.086372590296422,0.10863268505896458,0.2778434157371521,0.0063334343540191185,0.0070762288703235315,0.006226220245783527,0.006569893914002271,-0.0033451272174715996,0.00705766212195158,-0.008275871397927403,-0.008405882865190506,0.0009464630857110023,0.00996959943586262
59,defect-test##000059,55,-8.465178594,-8.313377796363635,0.15180079763636378,0.15180079763636378,0.08490092541006479,0.10654652622192434,0.2645924985408783,0.006453386255695174,0.008587059301380134,0.006710086522313456,0.007800152519111149,-0.0042969840578734875,0.012316453619860113,0.003516821889206767,-0.015989627223461866,0.0006486449856311083,-0.001951785758137703
60,defect-test##000060,53,-8.511612639433961,-8.352985886792453,0.15862675264150816,0.15862675264150816,0.09173295302931571,0.11837389806042355,0.42784738540649414,0.01429646834731102,0.01683366437241886,0.013781805833180746,0.01659706462573892,-0.0008114892989397049,0.018812749534845352,0.02172117866575718,-0.023151954635977745,0.0031780428253114223,-0.018103395123034716
61,defect-test##000061,55,-8.472896869636363,-8.320344681818183,0.15255218781818058,0.15255218781818058,0.09749051468503295,0.12442119301379925,0.3755495548248291,0.009652562434591042,0.012065371420288991,0.0102831300367446,0.012097004941793329,-0.004284946247935295,0.007459122134605423,-0.01910532172769308,-0.004644830012694001,0.002224532247055322,0.020196622237563133
62,defect-test##000062,55,-8.493157733818181,-8.340566183636364,0.15259155018181758,0.15259155018181758,0.092255224645928,0.11826569967178036,0.3592524528503418,0.006932831485755742,0.007860332930478286,0.007305449961374204,0.007903983176773021,-0.004101274535059929,0.00646725669503212,-0.011347818654030561,-0.0064612135756760836,0.001405566930770874,0.011813858523964882
63,defect-test##000063,53,-8.519897631132077,-8.359402062264152,0.16049556886792438,0.16049556886792438,0.08605612903568344,0.11271234696312708,0.37869006395339966,0.007236546439041073,0.00823603400296582,0.00709333907191952,0.008384273313627514,0.0011556223034858704,0.008183764759451151,0.01194063015282154,-0.011242289328947663,0.003174244426190853,-0.00772272766334936
64,defect-test##000064,55,-8.470878817454546,-8.322005947272727,0.14887287018181894,0.14887287018181894,0.09834177949479922,0.12612799151797352,0.5573371648788452,0.009711382367337743,0.014065758523117039,0.009775930549949408,0.014392033473893815,-0.0037953220307826996,-0.0009122500196099281,0.024620219599455595,-0.00527813658118248,0.00047625042498111725,-0.02318611554801464
65,defect-test##000065,49,-8.403031606938775,-8.227240114285713,0.1757914926530617,0.1757914926530617,0.09490713584838675,0.12189206358703118,0.44056010246276855,0.009250977328823259,0.010686117689065808,0.007755969495822986,0.008621992875143134,-0.003151555545628071,0.012376597616821527,0.00773975532501936,-0.016078947577625513,-0.002035785699263215,-0.014123222208581865
66,defect-test##000066,53,-8.516583204905661,-8.354534220754717,0.16204898415094426,0.16204898415094426,0.07916064978044175,0.10282593748878567,0.36409586668014526,0.002170838409862578,0.0024340472903544076,0.0011523471409115398,0.0012521931668169253,0.0016483711078763008,0.001323376753134653,-0.00048529356172366533,-0.0031883371993899345,0.0027848066529259086,0.003594845184125006
67,defect-test##000067,49,-8.345623212040817,-8.175276153061224,0.17034705897959235,0.17034705897959235,0.0964223559245746,0.12296243627774507,0.40764784812927246,0.014790049055591226,0.017157310744192397,0.015700172632932663,0.018364192235738992,-0.0022419877350330353,-0.021899974904954433,-0.02295855525881052,0.019064256455749273,-0.0030343886464834213,0.01954113133251667
68,defect-test##000068,55,-8.478795713636364,-8.32878418,0.15001153363636455,0.15001153363636455,0.08952792210955964,0.11162657797039953,0.32042354345321655,0.007580703357234597,0.010638413445201524,0.00806465717808654,0.010518870979996845,-0.0013943719677627087,-0.005480137770064175,-0.017319461796432734,0.002716189599595964,0.00014264369383454323,0.01843141531571746
