index,name,n_atoms,DFT_energy_pa,NEP_energy_pa,energy_residual,energy_MAE,force_MAE,force_RMSE,force_max_err,stress_MAE,stress_RMSE,stress_normal_MAE,stress_normal_RMSE,stress_res_xx,stress_res_yy,stress_res_zz,stress_res_yz,stress_res_xz,stress_res_xy
0,defect-test##000000,49,-8.508955066734694,-8.49419931240223,0.014755754332464122,0.014755754332464122,0.06000372068196726,0.08321459283491496,0.3080659927800298,0.0015018155305976204,0.0019175576233854586,0.0026014240380997458,0.002673117711061736,-0.0019632012117654085,-0.002408939297311008,0.0034321316052228212,-0.00012808597966795787,0.0006564502109540626,-0.00042208487866446376
1,defect-test##000001,54,-8.494573442777778,-8.492700944555436,0.001872498222342145,0.001872498222342145,0.0920073802979594,0.1110677827639467,0.30603790283203125,0.0031305857798239836,0.00404848419296338,0.0015736067046721776,0.0018222398044517132,-0.00266961008310318,0.001630222424864769,0.000420987606048584,-0.0025678188540041447,-0.002943878120277077,0.008550997590646148
2,defect-test##000002,54,-8.488710963148149,-8.486232127498383,0.0024788356497662534,0.0024788356497662534,0.10840012466414245,0.13624596016132023,0.3716960549354553,0.0033268767680662372,0.004153878753861567,0.0019203502063949902,0.0020767638409878,-0.0012133792042732239,0.003024134784936905,0.001523536629974842,-0.006179764633998275,0.0008293308783322573,0.007191114476881921
3,defect-test##000003,54,-8.479259728333334,-8.476920429277326,0.0023392990560076043,0.0023392990560076043,0.10985759181763839,0.137857158001494,0.3811100758612156,0.003060074794727067,0.0039274265295601435,0.0022151249771316848,0.0028886002976208176,-0.0048337215557694435,-0.0010201223194599152,0.0007915310561656952,-0.005929329199716449,0.005687659839168191,-9.808479808270931e-05
4,defect-test##000004,53,-8.501151315471699,-8.49749019550095,0.003661119970749027,0.003661119970749027,0.09576500886128689,0.1236147348857291,0.3597853183746338,0.0030223904905142263,0.003829849208149271,0.0030073720263317227,0.0031161342446672465,0.002992771682329476,0.0020152477081865072,0.004014096688479185,0.0010588664736133069,0.0075851972214877605,0.0004681631689891219
5,defect-test##000005,54,-8.469470501111111,-8.467301292921773,0.002169208189338079,0.002169208189338079,0.08615643979786079,0.10939867340187587,0.3150073289871216,0.0036649326405798397,0.004746939966308562,0.0014646343576411407,0.0019737562470364843,-0.0004474390298128128,0.003333314787596464,-0.0006131492555141449,-0.003638011869043112,0.009515564190223813,-0.004442116711288691
6,defect-test##000006,49,-8.371652932244897,-8.364874918513262,0.006778013731635113,0.006778013731635113,0.08883924615018222,0.11493055096581041,0.3805508613586426,0.003082819418826451,0.003686853452921905,0.003267684020102024,0.004072614784275048,-4.009529948234558e-05,-0.0038569532334804535,0.005906003527343273,0.001445274567231536,-0.004935574950650334,0.002313014934770763
7,defect-test##000007,54,-8.445176009074075,-8.442569191566937,0.0026068175071376487,0.0026068175071376487,0.09589482130724247,0.12046610190301717,0.3308353126049042,0.004324427534205218,0.005480277775763498,0.003914294609179099,0.0051410242034950334,-0.0010158945806324482,0.008582516107708216,-0.0021444731391966343,-5.867332220077515e-07,-0.0069493495393544436,0.007253745105117559
8,defect-test##000008,54,-8.483730506111112,-8.478892339792893,0.004838166318219095,0.004838166318219095,0.0888142117779173,0.11193110166212003,0.3182159662246704,0.0029410413650718206,0.00363500471226382,0.0025412792650361857,0.003749315235941655,-0.000592496246099472,0.006439808290451765,0.0005915332585573196,0.004822285292902961,-0.003007723775226623,0.0021924013271927834
9,defect-test##000009,54,-8.459779922777777,-8.455576361212092,0.004203561565685021,0.004203561565685021,0.09666810066505324,0.12503954198449505,0.4553772211074829,0.0022773328625286617,0.002547919770206544,0.002156950222949187,0.0025442229318770877,-0.004004588350653648,0.0016462039202451706,-0.0008200583979487419,0.0032943440601229668,-0.0012148513924330473,-0.0026839510537683964
10,defect-test##000010,54,-8.458858302777777,-8.454447765364042,0.004410537413734872,0.004410537413734872,0.09604552469825671,0.1250803816296343,0.4575940668582916,0.002038659578829538,0.002799905834444583,0.0025723306462168694,0.0035546454059040135,-0.0060303714126348495,0.001087019219994545,-0.0005996013060212135,-0.002571279568655882,0.0004106442574993707,0.0015330417081713676
11,defect-test##000011,54,-8.475316423148147,-8.471074651064582,0.004241772083565465,0.004241772083565465,0.10127639631384316,0.12900964667593293,0.4719562530517578,0.0038613139501345963,0.004805134095082313,0.0018257610499858856,0.002110397158760254,-0.001925930380821228,0.0030691344290971756,-0.00048221834003925323,0.003518569326843135,-0.00957308104261756,0.0045989501813892275
12,defect-test##000012,54,-8.46696179462963,-8.463106978762486,0.003854815867143202,0.003854815867143202,0.10085398601635753,0.12394879960066185,0.4114365205168724,0.004897305392660201,0.005675460468385172,0.002719166378180186,0.002738749863243562,-0.002260372042655945,0.0028989817947149277,-0.0029981452971696854,0.005533539806492627,-0.010762808145955205,0.004929985268972814
13,defect-test##000013,53,-8.508907715471699,-8.505161439803775,0.0037462756679236264,0.0037462756679236264,0.09281346361363693,0.11842783881601812,0.38698846101760864,0.0033192498958669603,0.003713512619303461,0.002609445325409373,0.0027853310974118406,0.0017109897453337908,0.0021543060429394245,0.003963040187954903,0.0034428993239998817,0.0065861595794558525,-0.0020581044955179095
14,defect-test##000014,54,-8.462659123888889,-8.460509064097575,0.002150059791313552,0.002150059791313552,0.1027425553313353,0.12776050419509102,0.4090978056192398,0.0027672068414782793,0.003088764230543696,0.0024575435866912207,0.002975886311931227,0.0010933708399534225,0.004821546375751495,-0.001457713544368744,0.003937818546546623,-0.0034085807856172323,-0.0018842109566321597
15,defect-test##000015,54,-8.45432826148148,-8.455661417392404,-0.0013331559109239777,0.0013331559109239777,0.10440652566763607,0.13645319391434685,0.42280781269073486,0.0039454398065572605,0.004650681763935275,0.0023918895361324153,0.00308310462005638,-0.0006354786455631256,0.005103906150907278,0.0014362838119268417,0.007697218796238303,-0.0031170169822871685,-0.005682734452420846
16,defect-test##000016,54,-8.459945918518518,-8.4580436340861,0.0019022844324183552,0.0019022844324183552,0.09487571207164028,0.11870400149990891,0.3680919259786606,0.004993619290568556,0.005547340028316448,0.0031887159372369447,0.003253207689050137,-0.0036446303129196167,-0.002277177758514881,-0.0036443397402763367,0.008308556280098855,-0.0037188795395195484,-0.008368132112082094
17,defect-test##000017,49,-8.418339325306123,-8.407693796489545,0.01064552881657832,0.01064552881657832,0.07815395349273965,0.099840576647448,0.30155038833618164,0.0028542277116988166,0.004104386590550874,0.0005301261165489753,0.0006898806334669789,0.0004616272635757923,-0.0011018076911568642,-2.6943394914269447e-05,0.0026790195843204856,0.004210663377307355,-0.008645304958918132
18,defect-test##000018,53,-8.512951412264151,-8.50838089211905,0.004570520145101398,0.004570520145101398,0.0818217268108197,0.10625977231937417,0.40475255250930786,0.004195145583556344,0.004545972026884798,0.0032366416417062283,0.003274399169175474,0.00257466034963727,0.003767874091863632,0.0033673904836177826,0.007987600867636502,0.00396346632624045,-0.003509881382342428
19,defect-test##000019,54,-8.473213254074075,-8.47054782576077,0.002665428313305185,0.002665428313305185,0.10707811093429265,0.13281525650259776,0.42193156480789185,0.0021823674615006894,0.003088303774955251,0.0016297077139218648,0.0016961312366611432,0.001004230696707964,0.0021372660994529724,0.0017476263456046581,0.006910671945661306,0.0006460279691964388,-0.0006483817123807967
20,defect-test##000020,54,-8.477151629444444,-8.474575433121567,0.002576196322877422,0.002576196322877422,0.09800693868331749,0.12420615039786238,0.5056065320968628,0.003240448456684438,0.003445676535233444,0.0033400066410346576,0.003542359803189967,0.0028960632625967264,0.004955243784934282,0.0021687128755729645,0.003092585364356637,0.004577860236167908,-0.0017522252164781094
21,defect-test##000021,49,-8.344860065918368,-8.337542560873395,0.007317505044973416,0.007317505044973416,0.09004282377989722,0.11593661144054933,0.3545692265033722,0.001872434775577858,0.002035582245430846,0.0023828784663540623,0.0024832430425066627,-0.0021678991615772247,-0.0033257825416512787,-0.001654953695833683,-0.001155029982328415,0.0008601725567132235,-0.0020707707153633237
22,defect-test##000022,54,-8.455164468888889,-8.46161129601583,-0.006446827126941557,0.006446827126941557,0.10252608748204592,0.12593494151967907,0.3564807176589966,0.0039706999668851495,0.005321647002486249,0.001580617002521952,0.0017142910241716657,-0.001399042084813118,-0.00087394705042243,0.002468861872330308,-0.006636244943365455,0.010673371143639088,-0.0017727327067404985
23,defect-test##000023,53,-8.518651999433962,-8.511801951871027,0.006850047562934947,0.006850047562934947,0.08286984293881229,0.10414899481232258,0.4031362533569336,0.0041082944759788615,0.004634811373093326,0.0022362833842635155,0.0024182941566875753,0.0009521609172224998,0.003062862902879715,0.0026938263326883316,0.007531641284003854,0.00567489885725081,-0.004734376561827958
24,defect-test##000024,54,-8.446040186111112,-8.442823059489852,0.003217126621260391,0.003217126621260391,0.08878007621639465,0.10851830767247815,0.3323439359664917,0.0033676372077025007,0.003999639229690278,0.0023654171576102576,0.0024638356261660254,-0.0022720713168382645,-0.0015716161578893661,-0.003252563998103142,0.007895765826106071,-0.0016487219836562872,-0.0035650839636218734
25,defect-test##000025,54,-8.446524850555555,-8.441406644050643,0.005118206504912237,0.005118206504912237,0.09354662810302991,0.12345869906029905,0.4565243124961853,0.003581559079369375,0.005332882082065084,0.0013009353230396907,0.0015532879154778025,-0.001890687271952629,0.00010076910257339478,-0.001911349594593048,0.011328583117574453,-0.0003467338829068467,-0.005911231506615877
26,defect-test##000026,53,-8.517784529433962,-8.510697446923864,0.007087082510098597,0.007087082510098597,0.08298882908252238,0.10315824763628356,0.3443557918071747,0.002793686156413363,0.004226265038965433,0.0008269734729159003,0.0010790260867234672,-0.0005467292066896334,0.00015363655984401703,0.0017805546522140503,0.009091095998883247,0.0006510328967124224,-0.0045390676241368055
27,defect-test##000027,54,-8.483499431481482,-8.47902728501261,0.0044721464688723955,0.0044721464688723955,0.09718070761875514,0.11905067453764459,0.346611350774765,0.003982227521191817,0.005226948957451772,0.0014605745527660474,0.0017412430892173396,-0.0008451733738183975,0.0007368027727352455,0.002799747511744499,0.010355665814131498,-0.0028935843147337437,-0.006262391339987516
28,defect-test##000028,54,-8.47092853851852,-8.468441105440474,0.0024874330780448872,0.0024874330780448872,0.10070794910180991,0.1268696866237471,0.39728641510009766,0.004231194393166031,0.005576682449895186,0.002465947977422426,0.0026961193042650466,-0.0010839145979844034,0.0025655869394540787,0.0037483423948287964,0.011998273897916079,-0.001794641837477684,-0.004196406691335142
29,defect-test##000029,54,-8.459436068518519,-8.457211293003935,0.0022247755145841097,0.0022247755145841097,0.09813343255312101,0.12522796954918144,0.4400026202201843,0.004359057163431619,0.004943042199693412,0.002634352732760211,0.0028915600182850753,-0.002084488980472088,0.0042895725928246975,-0.0015289966249838471,-0.008525284705683589,0.00398532667895779,0.005740673397667706
30,defect-test##000030,54,-8.456312939074074,-8.453421144195117,0.002891794878957299,0.002891794878957299,0.10401768878786422,0.12856200353154112,0.3177485540509224,0.0028038231345514455,0.0033212555005937934,0.0022833249531686306,0.002387749919504708,-0.0025811046361923218,0.0029500089585781097,-0.0013188612647354603,-0.0050270340871065855,6.691040471196175e-05,0.004879019455984235
31,defect-test##000031,54,-8.457644252407407,-8.451263948413112,0.006380303994294678,0.006380303994294678,0.08978233983923277,0.11441397422450823,0.33059465885162354,0.002114221337251365,0.002684697884242884,0.0023612388564894595,0.0030845600208983938,-0.0014327634125947952,0.005119390785694122,0.0005315623711794615,-0.00021969527006149292,0.0029836250469088554,-0.0023982911370694637
32,defect-test##000032,49,-8.406239005714285,-8.394817392747777,0.011421612966508121,0.011421612966508121,0.07803858147908738,0.10323553977800967,0.35810497403144836,0.0028208013436596957,0.004329408124256223,0.0006204849923960865,0.0007383324863757967,0.0011162413284182549,0.0001362403854727745,-0.00060897326329723,-0.0003243308747187257,0.006344165971313487,-0.008394856238737702
